h3_8,max_cp_prob,bocpd_cp_year,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022,p_2023,p_2024,has_bocpd_cp
88499516d9fffff,0.15000000000000002,2016,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15,0.15,False
88499516ddfffff,0.15000000000000002,2022,0.15,,,0.15,,0.15,0.15000000000000002,0.15,,False
8849958001fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15,0.15000000000000002,False
884995800dfffff,0.15000000000000008,2016,0.15000000000000008,,0.14999999999999997,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15,,0.15000000000000002,False
8849958019fffff,0.15,2018,,,0.15,0.14999999999999994,0.15,0.15,,,,False
8849958027fffff,0.15000000000000008,2016,0.15000000000000008,0.15,0.15,,,,,,0.15000000000000008,False
8849958083fffff,0.15000000000000008,2018,0.15000000000000002,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000008,0.15000000000000002,,0.15000000000000002,False
8849958087fffff,0.15000000000000008,2021,0.15,0.15,0.15,0.15,0.15000000000000002,0.15000000000000008,0.15000000000000002,0.15,0.15000000000000002,False
884995808bfffff,0.15000000000000008,2019,0.15,0.15,0.15,0.15000000000000008,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000008,,False
8849958091fffff,0.15000000000000013,2019,0.15,,0.15000000000000008,0.15000000000000013,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000002,,False
8849958099fffff,0.15000000000000008,2019,0.15,,0.15000000000000002,0.15000000000000008,0.15,,,,,False
884995809dfffff,0.15000000000000008,2018,,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000008,0.15,,0.15,False
88499580a1fffff,0.15000000000000002,2021,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,,,False
88499580a5fffff,0.15000000000000008,2019,,,0.14999999999999994,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000008,,,False
88499580abfffff,0.15000000000000008,2019,0.15,0.15,0.15,0.15000000000000008,,,0.15,0.15,0.15,False
88499580b7fffff,0.15,2020,,,0.14999999999999997,,0.15,0.15,0.15,,,False
88499580d3fffff,0.15000000000000008,2016,0.15000000000000008,0.15000000000000002,0.15,0.14999999999999997,0.15000000000000002,0.15,0.15000000000000008,0.15000000000000002,0.15000000000000008,False
88499580d7fffff,0.15000000000000008,2024,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15,0.15000000000000008,False
88499580dbfffff,0.15000000000000008,2022,,0.15000000000000002,0.15,0.15,0.15,0.15,0.15000000000000008,0.15,,False
8849958115fffff,0.15000000000000008,2024,,,,,0.15,,0.15,,0.15000000000000008,False
884995813bfffff,0.15000000000000002,2023,,,0.15,0.15,0.15,0.15,,0.15000000000000002,0.15000000000000002,False
8849958183fffff,0.15000000000000002,2020,0.15,,0.15,0.15,0.15000000000000002,,,0.15,,False
8849958189fffff,0.15000000000000002,2021,,,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000002,,False
884995818bfffff,0.15000000000000008,2016,0.15000000000000008,0.15,0.15000000000000008,0.15,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15000000000000002,False
8849958195fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15,False
8849958199fffff,0.15000000000000002,2018,0.14999999999999997,0.15,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000002,False
884995819dfffff,0.15000000000000002,2017,0.14999999999999997,0.15000000000000002,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15,0.14999999999999997,False
88499581b1fffff,0.15000000000000002,2023,,0.15,,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,False
88499581b3fffff,0.15000000000000002,2020,0.14999999999999994,,0.14999999999999994,0.15,0.15000000000000002,,0.15000000000000002,,,False
88499581b9fffff,0.15000000000000013,2022,0.15,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000013,0.15,0.15,False
88499581bbfffff,0.15000000000000002,2022,0.15,0.15,0.15,0.14999999999999997,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000002,False
88499581c1fffff,0.15000000000000008,2021,,,0.15000000000000002,0.15,0.15,0.15000000000000008,0.15,,,False
88499581c3fffff,0.15000000000000008,2020,,,,0.15,0.15000000000000008,,,0.15,,False
88499581c7fffff,0.15000000000000013,2021,,0.15000000000000002,0.15,0.15,0.15,0.15000000000000013,0.15000000000000002,,,False
88499581cdfffff,0.15,2016,0.15,,0.15,0.15,,0.14999999999999997,0.15,,0.15,False
88499581d3fffff,0.15000000000000002,2021,,,0.15,0.15,0.15,0.15000000000000002,0.15,,,False
88499581d5fffff,0.15000000000000008,2023,,,0.15000000000000002,0.15,0.15,,,0.15000000000000008,,False
88499581d7fffff,0.15000000000000008,2021,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000008,0.15000000000000002,0.15,,False
88499582bbfffff,0.15000000000000002,2018,,,0.15000000000000002,0.15,,,0.15,,,False
8849958401fffff,0.15000000000000002,2017,0.15,0.15000000000000002,0.15,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,False
8849958403fffff,0.15000000000000008,2021,0.15,0.14999999999999997,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000002,0.15000000000000002,False
8849958405fffff,0.15000000000000002,2016,0.15000000000000002,0.15,0.15,0.15,0.15,0.15,0.14999999999999994,0.15000000000000002,0.15,False
8849958407fffff,0.15000000000000008,2023,0.14999999999999997,0.15,0.14999999999999997,0.14999999999999997,0.15,0.15,0.15,0.15000000000000008,0.15000000000000002,False
8849958409fffff,0.15000000000000008,2019,0.15,0.15,0.14999999999999997,0.15000000000000008,0.15000000000000002,0.15000000000000002,0.14999999999999997,0.14999999999999997,0.15000000000000008,False
884995840bfffff,0.15000000000000008,2021,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000002,False
884995840dfffff,0.15000000000000008,2023,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,,0.15000000000000002,0.15000000000000008,,False
8849958411fffff,0.15000000000000013,2019,0.15,0.15,0.15,0.15000000000000013,0.15,0.15,0.15,0.15,0.15000000000000002,False
8849958415fffff,0.15000000000000002,2023,0.14999999999999997,0.15,0.15,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,False
8849958419fffff,0.15000000000000008,2024,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15,0.15000000000000002,0.15,0.15000000000000008,False
884995841bfffff,0.15000000000000008,2022,0.15000000000000002,0.14999999999999997,0.15000000000000002,0.14999999999999997,0.15,0.15000000000000002,0.15000000000000008,0.15000000000000002,0.15000000000000008,False
884995841dfffff,0.15000000000000008,2023,0.15000000000000002,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,0.15000000000000008,0.15,False
8849958421fffff,0.15000000000000008,2019,0.15,0.15,0.15000000000000002,0.15000000000000008,0.15,0.15,0.15,0.15,0.15000000000000008,False
8849958423fffff,0.15000000000000008,2024,0.14999999999999997,0.15000000000000002,0.14999999999999997,0.15000000000000002,0.15,0.15,0.15,0.15000000000000002,0.15000000000000008,False
8849958425fffff,0.15000000000000008,2019,0.15000000000000002,0.14999999999999994,0.15,0.15000000000000008,0.15000000000000008,0.15,0.15000000000000008,0.15,0.15,False
8849958427fffff,0.15000000000000008,2016,0.15000000000000008,0.15,0.15,0.15,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15,False
8849958429fffff,0.15000000000000002,2016,0.15000000000000002,0.15000000000000002,0.15,0.15,0.14999999999999994,0.15,0.15,,0.15000000000000002,False
884995842bfffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,False
884995842dfffff,0.15000000000000002,2017,0.15,0.15000000000000002,0.15,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15,False
8849958431fffff,0.15000000000000002,2016,0.15000000000000002,0.14999999999999997,0.15,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15,0.14999999999999997,False
8849958433fffff,0.15000000000000008,2021,0.15,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15000000000000008,0.15,0.15,0.15000000000000008,False
8849958435fffff,0.15000000000000008,2022,0.15,0.15,0.15,0.15,0.15,0.15,0.15000000000000008,0.15,0.15000000000000008,False
8849958437fffff,0.15000000000000008,2017,0.15000000000000002,0.15000000000000008,0.15,0.15,0.14999999999999997,0.15,0.15000000000000002,0.15,0.15,False
8849958439fffff,0.15000000000000002,2017,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000002,False
884995843bfffff,0.15000000000000008,2019,0.15,0.15,0.15,0.15000000000000008,0.15000000000000008,0.15000000000000002,0.15,0.15000000000000008,0.15,False
