h3_8,n_años,tipo,n_changepoints,changepoints
88499516d9fffff,9,fluctuante,0,
88499516ddfffff,5,estable,0,
8849958001fffff,9,fragmentada,0,
884995800dfffff,7,fragmentada,0,
8849958019fffff,4,monotónica,0,
8849958027fffff,4,monotónica,0,
8849958083fffff,8,fragmentada,0,
8849958087fffff,9,fragmentada,0,
884995808bfffff,8,fluctuante,0,
8849958091fffff,7,fragmentada,0,
8849958099fffff,4,monotónica,0,
884995809dfffff,7,fluctuante,0,
88499580a1fffff,7,fluctuante,0,
88499580a5fffff,5,fragmentada,0,
88499580abfffff,7,fluctuante,0,
88499580b7fffff,4,fluctuante,0,
88499580d3fffff,9,fluctuante,0,
88499580d7fffff,9,fragmentada,0,
88499580dbfffff,7,fragmentada,0,
8849958115fffff,3,fluctuante,0,
884995813bfffff,6,fragmentada,0,
8849958183fffff,5,fluctuante,0,
8849958189fffff,6,fluctuante,0,
884995818bfffff,9,fragmentada,0,
8849958195fffff,9,fragmentada,0,
8849958199fffff,9,fluctuante,0,
884995819dfffff,9,fluctuante,0,
88499581b1fffff,7,fragmentada,0,
88499581b3fffff,5,fluctuante,0,
88499581b9fffff,9,fragmentada,0,
88499581bbfffff,9,fragmentada,0,
88499581c1fffff,5,fragmentada,0,
88499581c3fffff,3,estable,0,
88499581c7fffff,6,fluctuante,0,
88499581cdfffff,6,fluctuante,0,
88499581d3fffff,5,monotónica,0,
88499581d5fffff,4,monotónica,0,
88499581d7fffff,8,fluctuante,0,
88499582bbfffff,3,monotónica,0,
8849958401fffff,9,fluctuante,0,
8849958403fffff,9,fragmentada,0,
8849958405fffff,9,fluctuante,0,
8849958407fffff,9,fragmentada,0,
8849958409fffff,9,fragmentada,0,
884995840bfffff,9,fragmentada,0,
884995840dfffff,7,fluctuante,0,
8849958411fffff,9,fluctuante,0,
8849958415fffff,9,fragmentada,0,
8849958419fffff,9,fluctuante,0,
884995841bfffff,9,fluctuante,0,
884995841dfffff,9,fragmentada,0,
8849958421fffff,9,fragmentada,0,
8849958423fffff,9,fragmentada,0,
8849958425fffff,9,fragmentada,0,
8849958427fffff,9,fragmentada,0,
8849958429fffff,8,fragmentada,0,
884995842bfffff,9,fragmentada,0,
884995842dfffff,9,fluctuante,0,
8849958431fffff,9,fragmentada,0,
8849958433fffff,9,fragmentada,0,
8849958435fffff,9,fragmentada,0,
8849958437fffff,9,fragmentada,0,
8849958439fffff,9,fragmentada,0,
884995843bfffff,9,fluctuante,0,
884995843dfffff,9,fluctuante,0,
8849958441fffff,9,fluctuante,0,
8849958443fffff,9,fluctuante,0,
8849958445fffff,9,fluctuante,0,
8849958447fffff,9,fluctuante,0,
8849958449fffff,9,fluctuante,0,
884995844bfffff,9,fluctuante,0,
8849958451fffff,8,fragmentada,0,
8849958455fffff,9,fluctuante,0,
8849958457fffff,9,fragmentada,0,
8849958459fffff,6,fluctuante,0,
884995845bfffff,9,fluctuante,0,
884995845dfffff,9,fragmentada,0,
8849958461fffff,6,fragmentada,0,
8849958463fffff,9,fluctuante,0,
8849958465fffff,7,fragmentada,0,
8849958467fffff,9,fluctuante,0,
8849958469fffff,6,monotónica,0,
884995846dfffff,4,fragmentada,0,
8849958481fffff,9,fragmentada,0,
8849958485fffff,9,fragmentada,0,
8849958487fffff,7,fragmentada,0,
8849958489fffff,9,monotónica,0,
884995848bfffff,9,fragmentada,0,
884995848dfffff,9,fragmentada,0,
8849958491fffff,7,fragmentada,0,
8849958493fffff,9,fragmentada,0,
8849958495fffff,7,monotónica,0,
8849958497fffff,5,fragmentada,0,
8849958499fffff,8,fluctuante,0,
884995849bfffff,8,fragmentada,0,
884995849dfffff,6,fluctuante,0,
88499584a1fffff,9,fragmentada,0,
88499584a3fffff,9,fluctuante,0,
88499584a5fffff,9,fluctuante,0,
88499584a7fffff,9,monotónica,0,
88499584a9fffff,9,monotónica,0,
88499584abfffff,9,fragmentada,0,
88499584adfffff,9,fluctuante,0,
88499584b1fffff,9,fragmentada,0,
88499584b3fffff,9,fragmentada,0,
88499584b5fffff,9,fluctuante,0,
88499584b7fffff,9,fragmentada,0,
88499584b9fffff,9,fragmentada,0,
88499584bbfffff,9,fragmentada,0,
88499584bdfffff,9,fluctuante,0,
88499584c3fffff,9,fragmentada,0,
88499584d1fffff,3,fluctuante,0,
88499584d3fffff,7,fluctuante,0,
88499584d5fffff,8,fragmentada,0,
88499584d7fffff,9,fluctuante,0,
88499584d9fffff,4,monotónica,0,
88499584ddfffff,4,monotónica,0,
88499584e1fffff,7,fluctuante,0,
88499584e3fffff,9,fragmentada,0,
88499584e5fffff,9,fragmentada,0,
88499584e7fffff,9,fragmentada,0,
88499584e9fffff,3,estable,0,
88499584ebfffff,3,monotónica,0,
88499584edfffff,9,fluctuante,0,
8849958501fffff,9,fragmentada,0,
8849958503fffff,6,fragmentada,0,
884995850bfffff,9,fragmentada,0,
8849958511fffff,9,fluctuante,0,
8849958513fffff,9,fluctuante,0,
8849958515fffff,9,fluctuante,0,
8849958517fffff,9,fragmentada,0,
8849958519fffff,9,fluctuante,0,
884995851bfffff,9,fragmentada,0,
884995851dfffff,9,fragmentada,0,
8849958521fffff,9,fragmentada,0,
8849958523fffff,9,fragmentada,0,
8849958525fffff,9,monotónica,0,
8849958527fffff,9,fragmentada,0,
8849958529fffff,9,fragmentada,0,
884995852bfffff,9,fluctuante,0,
884995852dfffff,9,fragmentada,0,
8849958531fffff,9,fragmentada,0,
8849958533fffff,9,fragmentada,0,
8849958535fffff,9,fluctuante,0,
8849958537fffff,8,fragmentada,0,
8849958539fffff,6,fluctuante,0,
884995853bfffff,9,fluctuante,0,
884995853dfffff,7,fragmentada,0,
8849958549fffff,9,fragmentada,0,
884995854bfffff,7,fluctuante,0,
884995854dfffff,7,fluctuante,0,
8849958551fffff,9,fluctuante,0,
8849958553fffff,9,fragmentada,0,
8849958555fffff,7,fluctuante,0,
8849958557fffff,9,fluctuante,0,
8849958559fffff,9,fluctuante,0,
884995855bfffff,9,fluctuante,0,
884995855dfffff,8,fluctuante,0,
8849958565fffff,6,fluctuante,0,
8849958567fffff,9,fragmentada,0,
8849958581fffff,9,fragmentada,0,
8849958583fffff,9,fragmentada,0,
8849958585fffff,9,fluctuante,0,
8849958587fffff,9,fluctuante,0,
8849958589fffff,9,fluctuante,0,
884995858bfffff,9,fragmentada,0,
884995858dfffff,9,fluctuante,0,
8849958591fffff,9,fragmentada,0,
8849958593fffff,9,estable,0,
8849958595fffff,9,fragmentada,0,
8849958597fffff,9,fragmentada,0,
8849958599fffff,9,fluctuante,0,
884995859bfffff,9,fragmentada,0,
884995859dfffff,9,fragmentada,0,
88499585a1fffff,9,fragmentada,0,
88499585a3fffff,9,fluctuante,0,
88499585a5fffff,9,fragmentada,0,
88499585a7fffff,9,fragmentada,0,
88499585a9fffff,9,fragmentada,0,
88499585abfffff,9,fragmentada,0,
88499585adfffff,9,fluctuante,0,
88499585b1fffff,9,fragmentada,0,
88499585b3fffff,9,fragmentada,0,
88499585b5fffff,9,fragmentada,0,
88499585b7fffff,9,fragmentada,0,
88499585b9fffff,9,fluctuante,0,
88499585bbfffff,9,fragmentada,0,
88499585bdfffff,8,fluctuante,0,
88499585c1fffff,9,fluctuante,0,
88499585c3fffff,9,fragmentada,0,
88499585c5fffff,9,fluctuante,0,
88499585c7fffff,9,fragmentada,0,
88499585c9fffff,9,fragmentada,0,
88499585cbfffff,9,fragmentada,0,
88499585cdfffff,9,fluctuante,0,
88499585d1fffff,8,fragmentada,0,
88499585d3fffff,9,fragmentada,0,
88499585d5fffff,9,fluctuante,0,
88499585d7fffff,9,fragmentada,0,
88499585d9fffff,9,fluctuante,0,
88499585dbfffff,9,fragmentada,0,
88499585ddfffff,9,fragmentada,0,
88499585e1fffff,9,fluctuante,0,
88499585e3fffff,9,fluctuante,0,
88499585e5fffff,9,fluctuante,0,
88499585e7fffff,9,fragmentada,0,
88499585e9fffff,9,fragmentada,0,
88499585ebfffff,9,fragmentada,0,
88499585edfffff,9,fluctuante,0,
8849958609fffff,3,estable,0,
8849958623fffff,9,fluctuante,0,
8849958627fffff,5,fluctuante,0,
884995862dfffff,6,fluctuante,0,
8849958643fffff,5,fluctuante,0,
884995865dfffff,6,monotónica,0,
8849958681fffff,9,fluctuante,0,
8849958683fffff,9,fluctuante,0,
8849958685fffff,9,fluctuante,0,
8849958687fffff,9,fluctuante,0,
8849958689fffff,9,fluctuante,0,
884995868bfffff,9,fluctuante,0,
884995868dfffff,9,fluctuante,0,
8849958691fffff,8,fragmentada,0,
8849958693fffff,9,fragmentada,0,
8849958695fffff,8,fragmentada,0,
8849958697fffff,9,fluctuante,0,
884995869bfffff,8,fragmentada,0,
884995869dfffff,8,fluctuante,0,
88499586a3fffff,6,fluctuante,0,
88499586a7fffff,6,fluctuante,0,
88499586abfffff,3,monotónica,0,
88499586b1fffff,9,fluctuante,0,
88499586b3fffff,4,monotónica,0,
88499586b5fffff,9,fluctuante,0,
88499586b7fffff,9,fragmentada,0,
88499586b9fffff,9,fragmentada,0,
88499586bbfffff,9,fragmentada,0,
88499586bdfffff,8,fluctuante,0,
88499586c3fffff,9,fluctuante,0,
88499586c7fffff,9,fluctuante,0,
88499586d5fffff,8,fluctuante,0,
88499586ddfffff,3,monotónica,0,
88499586e1fffff,9,fluctuante,0,
88499586e3fffff,9,fluctuante,0,
88499586e7fffff,9,fragmentada,0,
88499586ebfffff,8,fluctuante,0,
88499586edfffff,6,monotónica,0,
8849958705fffff,5,fragmentada,0,
8849958707fffff,9,monotónica,0,
884995870dfffff,8,fluctuante,0,
8849958721fffff,9,fragmentada,0,
8849958723fffff,9,fragmentada,0,
8849958725fffff,9,fragmentada,0,
8849958727fffff,9,fragmentada,0,
8849958729fffff,7,fluctuante,0,
884995872bfffff,4,monotónica,0,
884995872dfffff,9,fragmentada,0,
8849958731fffff,7,fragmentada,0,
8849958733fffff,9,fragmentada,0,
8849958735fffff,9,fluctuante,0,
8849958737fffff,8,fluctuante,0,
8849958739fffff,8,fragmentada,0,
884995873bfffff,9,fluctuante,0,
884995873dfffff,7,fluctuante,0,
8849958757fffff,6,fluctuante,0,
8849958761fffff,5,fluctuante,0,
884995876bfffff,3,monotónica,0,
8849958c01fffff,9,estable,0,
8849958c03fffff,9,monotónica,0,
8849958c05fffff,9,fluctuante,0,
8849958c07fffff,9,fluctuante,0,
8849958c09fffff,9,fragmentada,0,
8849958c0bfffff,9,fragmentada,0,
8849958c0dfffff,9,fluctuante,0,
8849958c11fffff,9,fluctuante,0,
8849958c13fffff,9,fluctuante,0,
8849958c15fffff,9,fragmentada,0,
8849958c17fffff,9,fragmentada,0,
8849958c19fffff,9,fluctuante,0,
8849958c1bfffff,9,fluctuante,0,
8849958c1dfffff,9,fragmentada,0,
8849958c2bfffff,4,monotónica,0,
8849958c39fffff,8,fragmentada,0,
8849958c41fffff,9,fragmentada,0,
8849958c43fffff,9,fragmentada,0,
8849958c45fffff,9,fragmentada,0,
8849958c47fffff,9,fragmentada,0,
8849958c4bfffff,9,fragmentada,0,
8849958c51fffff,9,fragmentada,0,
8849958c53fffff,9,fragmentada,0,
8849958c55fffff,9,fragmentada,0,
8849958c57fffff,9,fluctuante,0,
8849958c59fffff,9,fragmentada,0,
8849958c5bfffff,9,fragmentada,0,
8849958c5dfffff,9,fragmentada,0,
8849958c61fffff,9,fragmentada,0,
8849958c63fffff,9,fluctuante,0,
8849958c69fffff,9,fragmentada,0,
8849958c6bfffff,9,fragmentada,0,
8849958c6dfffff,8,fragmentada,0,
8849958c91fffff,9,fragmentada,0,
8849958c93fffff,5,fragmentada,0,
8849958c97fffff,8,fragmentada,0,
8849958c99fffff,9,monotónica,0,
8849958c9bfffff,9,fragmentada,0,
8849958c9dfffff,8,fragmentada,0,
8849958cc1fffff,9,estable,0,
8849958cc3fffff,9,fluctuante,0,
