h3_8,año_hecho,cluster_km_ae,cluster_km_ae_cos,cluster_km_pca,cluster_km_raw,cluster_hdbscan
88499516d9fffff,2016,1,2,4,1,-1
88499516d9fffff,2017,0,2,4,1,29
88499516d9fffff,2018,0,2,1,4,38
88499516d9fffff,2019,0,2,4,1,48
88499516d9fffff,2020,1,2,4,1,-1
88499516d9fffff,2021,0,2,4,1,-1
88499516d9fffff,2022,1,0,2,2,-1
88499516d9fffff,2023,0,2,1,4,65
88499516d9fffff,2024,2,2,4,1,-1
88499516ddfffff,2016,0,2,4,1,29
88499516ddfffff,2019,0,2,4,1,49
88499516ddfffff,2021,0,2,4,1,-1
88499516ddfffff,2022,0,2,4,1,50
88499516ddfffff,2023,0,2,4,1,-1
8849958001fffff,2016,4,1,4,1,47
8849958001fffff,2017,0,2,4,1,28
8849958001fffff,2018,0,2,1,4,-1
8849958001fffff,2019,4,0,1,1,-1
8849958001fffff,2020,0,2,4,1,70
8849958001fffff,2021,4,0,1,4,5
8849958001fffff,2022,1,0,1,4,0
8849958001fffff,2023,4,0,1,4,13
8849958001fffff,2024,3,4,0,0,51
884995800dfffff,2016,0,2,4,1,49
884995800dfffff,2018,0,1,1,4,27
884995800dfffff,2019,0,2,1,4,27
884995800dfffff,2020,0,2,4,1,56
884995800dfffff,2021,0,2,4,1,28
884995800dfffff,2022,2,3,2,0,-1
884995800dfffff,2024,1,4,1,4,4
8849958019fffff,2018,2,3,4,1,-1
8849958019fffff,2019,2,3,2,0,-1
8849958019fffff,2020,0,2,4,1,16
8849958019fffff,2021,3,1,1,4,18
8849958027fffff,2016,0,2,2,2,2
8849958027fffff,2017,4,2,4,1,5
8849958027fffff,2018,0,2,4,1,27
8849958027fffff,2024,2,3,1,4,-1
8849958083fffff,2016,2,1,4,1,47
8849958083fffff,2017,3,1,1,4,-1
8849958083fffff,2018,0,2,4,1,68
8849958083fffff,2019,2,3,2,2,36
8849958083fffff,2020,4,0,1,4,5
8849958083fffff,2021,4,0,1,4,12
8849958083fffff,2022,2,3,1,4,37
8849958083fffff,2024,4,2,4,1,-1
8849958087fffff,2016,0,2,4,1,16
8849958087fffff,2017,3,1,0,1,-1
8849958087fffff,2018,3,1,0,2,67
8849958087fffff,2019,3,1,0,1,47
8849958087fffff,2020,0,2,1,4,0
8849958087fffff,2021,0,2,4,1,56
8849958087fffff,2022,3,3,0,0,32
8849958087fffff,2023,3,0,1,4,22
8849958087fffff,2024,0,2,1,4,38
884995808bfffff,2016,4,0,1,4,-1
884995808bfffff,2017,3,1,1,4,47
884995808bfffff,2018,3,1,0,0,-1
884995808bfffff,2019,0,2,1,4,38
884995808bfffff,2020,4,0,1,4,5
884995808bfffff,2021,0,2,4,1,24
884995808bfffff,2022,0,1,1,4,-1
884995808bfffff,2023,3,0,1,4,18
8849958091fffff,2016,2,3,1,4,34
8849958091fffff,2018,4,0,1,4,52
8849958091fffff,2019,3,1,1,4,18
8849958091fffff,2020,4,0,1,4,-1
8849958091fffff,2021,0,2,1,4,65
8849958091fffff,2022,2,3,2,2,34
8849958091fffff,2023,4,0,1,4,-1
8849958099fffff,2016,4,0,1,4,5
8849958099fffff,2018,2,0,1,2,52
8849958099fffff,2019,2,2,4,1,52
8849958099fffff,2020,0,2,1,4,-1
884995809dfffff,2017,4,0,2,0,4
884995809dfffff,2018,1,0,2,2,-1
884995809dfffff,2019,2,3,2,2,41
884995809dfffff,2020,4,0,1,4,-1
884995809dfffff,2021,3,1,2,2,-1
884995809dfffff,2022,4,0,2,2,-1
884995809dfffff,2024,1,0,1,4,22
88499580a1fffff,2016,0,2,4,1,-1
88499580a1fffff,2017,0,2,4,1,-1
88499580a1fffff,2018,1,4,4,1,51
88499580a1fffff,2019,0,2,4,1,33
88499580a1fffff,2020,2,3,1,4,-1
88499580a1fffff,2021,1,2,2,2,-1
88499580a1fffff,2022,2,3,4,1,74
88499580a5fffff,2018,3,1,4,1,24
88499580a5fffff,2019,3,0,1,4,-1
88499580a5fffff,2020,4,2,4,1,15
88499580a5fffff,2021,2,3,2,2,-1
88499580a5fffff,2022,0,2,4,1,27
88499580abfffff,2016,0,2,4,1,5
88499580abfffff,2017,4,0,1,4,31
88499580abfffff,2018,0,2,4,1,-1
88499580abfffff,2019,0,0,1,4,-1
88499580abfffff,2022,2,3,1,4,33
88499580abfffff,2023,1,0,1,4,-1
88499580abfffff,2024,4,2,1,4,-1
88499580b7fffff,2018,0,2,4,1,-1
88499580b7fffff,2020,1,4,2,2,2
88499580b7fffff,2021,0,2,4,1,56
88499580b7fffff,2022,1,2,2,1,-1
88499580d3fffff,2016,0,2,1,4,0
88499580d3fffff,2017,4,0,4,1,-1
88499580d3fffff,2018,0,2,4,1,70
88499580d3fffff,2019,1,0,1,4,48
88499580d3fffff,2020,0,2,4,1,56
88499580d3fffff,2021,1,0,1,4,52
88499580d3fffff,2022,4,0,1,4,53
88499580d3fffff,2023,1,0,1,4,65
88499580d3fffff,2024,2,0,1,4,4
88499580d7fffff,2016,0,1,4,1,-1
88499580d7fffff,2017,3,0,1,4,-1
88499580d7fffff,2018,2,3,0,0,35
88499580d7fffff,2019,3,1,4,1,47
88499580d7fffff,2020,2,3,4,1,-1
88499580d7fffff,2021,4,0,2,2,-1
88499580d7fffff,2022,2,3,1,4,33
88499580d7fffff,2023,0,2,1,4,28
88499580d7fffff,2024,4,3,1,4,6
88499580dbfffff,2017,4,1,2,2,2
88499580dbfffff,2018,1,0,4,1,48
88499580dbfffff,2019,2,3,2,2,31
88499580dbfffff,2020,2,3,2,2,-1
88499580dbfffff,2021,1,0,2,2,2
88499580dbfffff,2022,1,4,2,2,2
88499580dbfffff,2023,4,0,1,4,22
8849958115fffff,2020,0,2,4,1,57
8849958115fffff,2022,2,3,4,1,36
8849958115fffff,2024,0,2,1,4,-1
884995813bfffff,2018,0,4,2,2,-1
884995813bfffff,2019,1,4,2,2,2
884995813bfffff,2020,2,3,0,0,41
884995813bfffff,2021,4,3,4,1,57
884995813bfffff,2023,0,2,1,4,38
884995813bfffff,2024,4,0,1,4,6
8849958183fffff,2016,0,2,4,1,56
8849958183fffff,2018,2,3,4,1,-1
8849958183fffff,2019,2,3,1,4,-1
8849958183fffff,2020,4,0,1,4,12
8849958183fffff,2023,4,3,1,4,13
8849958189fffff,2018,1,2,1,4,65
8849958189fffff,2019,0,2,4,1,62
8849958189fffff,2020,4,0,2,2,13
8849958189fffff,2021,3,0,1,4,17
8849958189fffff,2022,3,4,1,4,-1
8849958189fffff,2023,1,0,1,4,-1
884995818bfffff,2016,4,1,4,1,-1
884995818bfffff,2017,0,2,4,1,-1
884995818bfffff,2018,0,1,4,1,56
884995818bfffff,2019,2,3,0,0,-1
884995818bfffff,2020,1,4,2,2,-1
884995818bfffff,2021,0,2,4,1,16
884995818bfffff,2022,0,2,4,1,56
884995818bfffff,2023,0,0,1,4,-1
884995818bfffff,2024,3,0,1,4,20
8849958195fffff,2016,4,2,4,1,5
8849958195fffff,2017,3,1,0,1,60
8849958195fffff,2018,1,0,2,0,59
8849958195fffff,2019,3,3,0,0,32
8849958195fffff,2020,2,3,0,0,23
8849958195fffff,2021,0,0,1,4,72
8849958195fffff,2022,2,3,0,0,-1
8849958195fffff,2023,3,1,1,4,-1
8849958195fffff,2024,3,0,0,0,19
8849958199fffff,2016,0,2,4,1,-1
8849958199fffff,2017,3,1,4,1,60
8849958199fffff,2018,3,1,0,0,-1
8849958199fffff,2019,0,2,4,1,-1
8849958199fffff,2020,0,2,1,4,-1
8849958199fffff,2021,0,2,4,1,-1
8849958199fffff,2022,2,3,1,4,-1
8849958199fffff,2023,0,1,1,4,56
8849958199fffff,2024,0,2,1,4,27
884995819dfffff,2016,3,0,1,4,17
884995819dfffff,2017,3,1,0,0,67
884995819dfffff,2018,3,1,0,0,47
884995819dfffff,2019,3,1,0,0,58
884995819dfffff,2020,2,3,0,0,42
884995819dfffff,2021,3,1,0,0,-1
884995819dfffff,2022,3,1,0,4,55
884995819dfffff,2023,3,1,4,1,47
884995819dfffff,2024,3,1,0,0,55
88499581b1fffff,2017,1,0,0,2,-1
88499581b1fffff,2019,2,3,4,1,-1
88499581b1fffff,2020,4,0,4,1,-1
88499581b1fffff,2021,0,2,4,1,56
88499581b1fffff,2022,3,0,1,4,-1
88499581b1fffff,2023,3,0,1,4,20
88499581b1fffff,2024,3,1,0,0,61
88499581b3fffff,2016,4,0,1,4,32
88499581b3fffff,2018,4,0,1,4,38
88499581b3fffff,2019,2,3,2,0,-1
88499581b3fffff,2020,2,3,0,0,-1
88499581b3fffff,2022,3,0,1,4,18
88499581b9fffff,2016,0,1,1,4,47
88499581b9fffff,2017,2,0,1,4,26
88499581b9fffff,2018,3,1,0,0,47
88499581b9fffff,2019,2,3,2,0,-1
88499581b9fffff,2020,0,1,4,0,24
88499581b9fffff,2021,0,2,4,1,48
88499581b9fffff,2022,2,3,1,4,-1
88499581b9fffff,2023,3,1,1,4,-1
88499581b9fffff,2024,2,3,1,4,-1
88499581bbfffff,2016,3,0,1,4,47
88499581bbfffff,2017,1,2,4,1,-1
88499581bbfffff,2018,3,1,0,1,54
88499581bbfffff,2019,3,4,0,0,39
88499581bbfffff,2020,3,1,0,0,55
88499581bbfffff,2021,3,1,0,0,-1
88499581bbfffff,2022,3,1,1,4,46
88499581bbfffff,2023,3,1,0,0,47
88499581bbfffff,2024,3,1,1,4,-1
88499581c1fffff,2018,0,1,1,4,-1
88499581c1fffff,2019,3,1,1,4,24
88499581c1fffff,2020,1,4,2,2,2
88499581c1fffff,2021,0,2,4,1,50
88499581c1fffff,2022,4,0,1,4,13
88499581c3fffff,2019,4,0,1,4,53
88499581c3fffff,2020,4,0,2,2,-1
88499581c3fffff,2023,4,0,1,4,-1
88499581c7fffff,2017,0,2,4,1,58
88499581c7fffff,2018,1,0,1,4,-1
88499581c7fffff,2019,0,2,4,1,56
88499581c7fffff,2020,0,2,4,1,-1
88499581c7fffff,2021,2,3,1,4,-1
88499581c7fffff,2022,0,0,1,4,37
88499581cdfffff,2016,1,0,1,4,-1
88499581cdfffff,2018,3,0,1,4,6
88499581cdfffff,2019,1,0,0,0,48
88499581cdfffff,2021,0,2,1,4,48
88499581cdfffff,2022,4,0,1,4,-1
88499581cdfffff,2024,3,0,1,4,-1
88499581d3fffff,2018,1,2,2,2,-1
88499581d3fffff,2019,1,4,2,2,2
88499581d3fffff,2020,1,4,2,0,4
88499581d3fffff,2021,1,4,2,2,2
88499581d3fffff,2022,1,4,2,2,64
88499581d5fffff,2018,2,3,0,0,-1
88499581d5fffff,2019,3,0,1,4,52
88499581d5fffff,2020,4,0,2,2,13
88499581d5fffff,2023,4,0,1,4,64
88499581d7fffff,2016,3,0,1,4,18
88499581d7fffff,2017,0,2,4,1,29
88499581d7fffff,2018,3,0,1,4,52
88499581d7fffff,2019,1,4,2,2,2
88499581d7fffff,2020,1,0,1,4,-1
88499581d7fffff,2021,1,0,2,2,-1
88499581d7fffff,2022,1,4,2,2,2
88499581d7fffff,2023,1,0,1,4,72
88499582bbfffff,2018,4,0,1,4,14
88499582bbfffff,2019,1,4,2,2,2
88499582bbfffff,2022,0,2,4,1,28
8849958401fffff,2016,0,2,4,1,-1
8849958401fffff,2017,2,3,4,1,56
8849958401fffff,2018,0,2,4,1,70
8849958401fffff,2019,0,2,4,1,-1
8849958401fffff,2020,3,1,0,0,55
8849958401fffff,2021,3,1,0,0,60
8849958401fffff,2022,2,3,4,1,74
8849958401fffff,2023,0,1,4,1,57
8849958401fffff,2024,2,3,4,1,-1
8849958403fffff,2016,0,2,4,1,-1
8849958403fffff,2017,0,2,4,1,68
8849958403fffff,2018,0,2,0,1,-1
8849958403fffff,2019,0,2,1,4,0
8849958403fffff,2020,3,0,1,4,70
8849958403fffff,2021,3,0,1,4,-1
8849958403fffff,2022,2,0,0,4,48
8849958403fffff,2023,3,1,0,0,56
8849958403fffff,2024,2,3,1,4,30
8849958405fffff,2016,3,1,0,0,39
8849958405fffff,2017,2,3,4,1,32
8849958405fffff,2018,3,4,0,0,-1
8849958405fffff,2019,0,1,4,1,54
8849958405fffff,2020,3,1,0,0,47
8849958405fffff,2021,3,1,0,0,-1
8849958405fffff,2022,2,3,0,0,-1
8849958405fffff,2023,2,3,0,0,32
8849958405fffff,2024,0,1,4,1,24
8849958407fffff,2016,2,3,0,0,-1
8849958407fffff,2017,0,2,1,4,6
8849958407fffff,2018,3,3,0,0,-1
8849958407fffff,2019,3,0,0,0,-1
8849958407fffff,2020,1,0,1,4,71
8849958407fffff,2021,2,3,2,0,40
8849958407fffff,2022,3,3,1,4,-1
8849958407fffff,2023,2,3,4,1,-1
8849958407fffff,2024,2,1,4,1,67
8849958409fffff,2016,4,2,4,1,5
8849958409fffff,2017,3,1,4,1,-1
8849958409fffff,2018,3,0,0,0,-1
8849958409fffff,2019,4,0,1,4,17
8849958409fffff,2020,4,3,1,4,-1
8849958409fffff,2021,1,4,2,0,4
8849958409fffff,2022,3,0,1,4,20
8849958409fffff,2023,4,3,0,0,17
8849958409fffff,2024,2,3,0,0,40
884995840bfffff,2016,0,2,4,1,70
884995840bfffff,2017,0,3,4,1,-1
884995840bfffff,2018,3,1,0,0,35
884995840bfffff,2019,3,1,4,1,-1
884995840bfffff,2020,3,1,0,1,60
884995840bfffff,2021,3,1,0,1,47
884995840bfffff,2022,4,0,1,4,13
884995840bfffff,2023,3,0,1,4,47
884995840bfffff,2024,2,3,0,0,54
884995840dfffff,2016,0,2,4,1,16
884995840dfffff,2017,1,2,1,4,-1
884995840dfffff,2018,0,2,4,1,-1
884995840dfffff,2019,4,3,2,1,-1
884995840dfffff,2020,2,3,2,1,25
884995840dfffff,2022,2,2,4,1,58
884995840dfffff,2023,1,4,2,0,4
8849958411fffff,2016,0,2,4,1,-1
8849958411fffff,2017,0,2,4,1,68
8849958411fffff,2018,3,3,0,0,39
8849958411fffff,2019,2,3,0,0,-1
8849958411fffff,2020,0,2,4,1,-1
8849958411fffff,2021,3,4,4,1,51
8849958411fffff,2022,2,3,4,1,34
