h3_8,cluster_dtw
88499516d9fffff,0
8849958001fffff,4
8849958087fffff,0
88499580d3fffff,2
88499580d7fffff,3
884995818bfffff,0
8849958195fffff,3
8849958199fffff,0
884995819dfffff,1
88499581b9fffff,2
88499581bbfffff,1
8849958401fffff,0
8849958403fffff,0
8849958405fffff,3
8849958407fffff,3
8849958409fffff,2
884995840bfffff,0
8849958411fffff,2
8849958415fffff,2
8849958419fffff,4
884995841bfffff,3
884995841dfffff,0
8849958421fffff,0
8849958423fffff,1
8849958425fffff,0
8849958427fffff,2
884995842bfffff,3
884995842dfffff,3
8849958431fffff,1
8849958433fffff,1
8849958435fffff,3
8849958437fffff,3
8849958439fffff,2
884995843bfffff,2
884995843dfffff,0
8849958441fffff,1
8849958443fffff,4
8849958445fffff,4
8849958447fffff,4
8849958449fffff,2
884995844bfffff,4
8849958455fffff,3
8849958457fffff,2
884995845bfffff,2
884995845dfffff,3
8849958463fffff,4
8849958467fffff,4
8849958481fffff,0
8849958485fffff,1
8849958489fffff,1
884995848bfffff,1
884995848dfffff,1
8849958493fffff,0
88499584a1fffff,0
88499584a3fffff,0
88499584a5fffff,2
88499584a7fffff,1
88499584a9fffff,0
88499584abfffff,0
88499584adfffff,2
88499584b1fffff,2
88499584b3fffff,3
88499584b5fffff,2
88499584b7fffff,2
88499584b9fffff,1
88499584bbfffff,4
88499584bdfffff,3
88499584c3fffff,3
88499584d7fffff,0
88499584e3fffff,4
88499584e5fffff,2
88499584e7fffff,4
88499584edfffff,4
8849958501fffff,2
884995850bfffff,4
8849958511fffff,2
8849958513fffff,2
8849958515fffff,0
8849958517fffff,3
8849958519fffff,3
884995851bfffff,4
884995851dfffff,3
8849958521fffff,2
8849958523fffff,4
8849958525fffff,4
8849958527fffff,2
8849958529fffff,3
884995852bfffff,0
884995852dfffff,2
8849958531fffff,3
8849958533fffff,0
8849958535fffff,2
884995853bfffff,1
8849958549fffff,2
8849958551fffff,2
8849958553fffff,3
8849958557fffff,4
8849958559fffff,3
884995855bfffff,0
8849958567fffff,0
8849958581fffff,3
8849958583fffff,1
8849958585fffff,1
8849958587fffff,0
8849958589fffff,1
884995858bfffff,3
884995858dfffff,3
8849958591fffff,1
8849958593fffff,0
8849958595fffff,3
8849958597fffff,1
8849958599fffff,2
884995859bfffff,1
884995859dfffff,1
88499585a1fffff,3
88499585a3fffff,1
88499585a5fffff,0
88499585a7fffff,4
88499585a9fffff,2
88499585abfffff,3
88499585adfffff,1
88499585b1fffff,3
88499585b3fffff,2
88499585b5fffff,1
88499585b7fffff,2
88499585b9fffff,0
88499585bbfffff,3
88499585c1fffff,0
88499585c3fffff,3
88499585c5fffff,3
88499585c7fffff,1
