h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8
88499516d9fffff,2016,-0.57529664,0.8420387,0.0717007,0.3328902,-1.1230992,0.5725243,0.14774165,0.26920062
88499516d9fffff,2017,-1.2994728,1.212292,-0.79448193,0.5756434,0.02655999,-0.101252295,-0.28846943,-0.27202925
88499516d9fffff,2018,-0.5063527,1.8321885,-0.20818582,-0.19491546,-0.016118292,0.2549569,-0.4600328,-0.58283985
88499516d9fffff,2019,-0.36410484,0.7520048,-0.18371615,1.1728406,-1.1572605,0.7738471,-1.2313255,-0.9695435
88499516d9fffff,2020,-0.47002888,0.9833242,-0.18588282,0.46855864,-0.57149094,0.6560146,0.6464933,0.51060206
88499516d9fffff,2021,-1.3881136,0.8587099,-0.96654606,0.28312486,-0.38004655,0.9742587,0.14781328,0.38029087
88499516d9fffff,2022,0.041572794,1.2492853,1.7501564,0.35620537,-1.6653069,0.8826792,-0.52087605,0.008427034
88499516d9fffff,2023,-1.1747774,1.9390787,-0.019932348,-1.563696,-0.68658125,-0.03643856,-0.4182169,0.24698903
88499516d9fffff,2024,-0.5312401,0.12881249,-0.17448634,0.4814631,0.19410795,-0.7110101,-0.4639983,0.48492184
88499516ddfffff,2016,-1.6506836,2.9246714,-2.6951554,0.39069915,-1.2591528,1.2081409,0.32847723,-1.0681534
88499516ddfffff,2019,-4.161734,0.7133867,0.51718867,1.1811097,-1.6128331,-0.02843078,0.5321712,0.91672623
88499516ddfffff,2021,-0.90097606,1.4807075,-0.72115886,-0.38744077,-2.4641259,-0.38223147,-0.327387,-1.8393525
88499516ddfffff,2022,-1.6596668,0.3165912,0.7340989,0.0010598394,-1.0342422,-0.88944966,1.8859524,-0.6294173
88499516ddfffff,2023,-2.437806,0.38289165,-0.060953625,-1.1791952,-2.2943578,0.58388895,2.066475,0.52485687
8849958001fffff,2016,0.21273662,-1.1861743,-1.4711407,-1.7495832,-2.4364803,0.12188885,0.013999409,0.11736807
8849958001fffff,2017,-2.048788,2.212421,-0.876267,1.1438103,-1.932445,0.034391716,-0.4008958,-0.3081819
8849958001fffff,2018,-0.041447572,1.5321143,-1.1569315,1.3898125,-0.72421026,0.43816257,-1.2529002,-2.1018703
8849958001fffff,2019,-0.81798756,0.4080421,0.9263174,-0.823432,-1.5784277,-1.1829152,-0.71399766,0.95308363
8849958001fffff,2020,-2.0384045,-0.6637622,-0.41891316,-0.9235917,-0.14156274,0.6989592,0.9744218,0.047008663
8849958001fffff,2021,-0.31675112,0.1554109,0.33202228,-0.8413253,-0.7510187,-1.8069046,0.28464806,-0.2833181
8849958001fffff,2022,-0.9599368,0.4728711,0.68183464,1.6471995,-0.28924823,-2.254787,-0.18608116,0.03169059
8849958001fffff,2023,1.0439489,-0.33697265,1.3793033,-2.556261,-0.71611124,-2.7656965,-0.2921368,1.8069911
8849958001fffff,2024,0.009974387,-0.12867191,0.1440053,-0.09331661,0.6886632,-0.20533206,0.66632676,0.33678192
884995800dfffff,2016,-4.773089,1.0962417,-0.5501783,-0.4084552,-1.8990039,0.38123685,1.6916893,0.9288096
884995800dfffff,2018,0.92155266,1.2092103,-1.7298,0.6540263,0.61372316,-0.57079786,1.6453592,-1.180344
884995800dfffff,2019,0.58591413,1.1475171,-1.2137698,0.0024744028,-0.28561592,0.35133934,-0.4992603,-1.3944914
884995800dfffff,2020,-1.0918013,-0.09318632,-0.9507457,-0.23472077,1.149838,-0.73703915,1.8172107,-0.788604
884995800dfffff,2021,-1.9273047,1.1216191,-0.3049257,1.500249,-0.32478806,-0.9841044,-0.47417012,0.68901485
884995800dfffff,2022,-1.079268,-0.22795135,1.9637321,0.64704907,-1.5164714,-0.28257662,-2.4931993,2.8990302
884995800dfffff,2024,-1.0852492,-0.18051924,0.93817204,1.2152234,-0.6554072,-1.9463491,0.52467275,1.698323
8849958019fffff,2018,0.22460084,1.2191324,-0.929803,-1.9844,0.22087114,3.3543358,-0.4631885,-0.28280202
8849958019fffff,2019,-0.28573143,-0.7142864,1.7349933,-0.8542838,0.3003088,-0.24336916,0.27148762,2.068871
8849958019fffff,2020,-1.2872777,1.0646578,-1.2550093,-0.19334546,-0.6213437,-0.37403536,-0.58717394,-1.8665481
8849958019fffff,2021,1.943823,1.5769107,-1.80263,0.7356132,1.1694633,-0.1337688,-0.12218212,-1.7456642
8849958027fffff,2016,-1.3882825,2.9895375,0.74969995,-1.5744952,-0.63253325,-1.87179,3.692418,0.28236753
8849958027fffff,2017,-1.3577323,-0.3832192,-1.1125407,-2.542707,-1.5089386,-1.0996233,0.37491566,-0.5566996
8849958027fffff,2018,-1.5758291,0.99321395,-1.7715921,-0.5076329,1.5357441,-1.411165,1.4318327,-2.03519
8849958027fffff,2024,1.977663,0.8229336,0.11894328,-2.124542,-0.052481625,2.3909593,-1.8438404,0.04658626
