h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16
88499516d9fffff,2016,0.34405,1.1679077,-0.65449464,1.5448442,-0.06721672,0.27248415,-1.6346812,0.28967914,0.24719244,0.9196207,-0.26957375,0.6573559,-0.6825163,-0.74196875,-1.1972965,-0.2918351
88499516d9fffff,2017,-0.54472095,1.32041,-1.1088148,1.3257786,0.8119385,0.6401911,-0.8168127,0.040746965,0.58603513,0.5912809,0.5374528,-0.3697507,-0.56581706,0.25119758,0.01628882,0.7252773
88499516d9fffff,2018,-1.0960214,0.7526445,-1.498473,1.2134901,0.30891684,-0.81842023,-0.8627855,0.35831454,0.86602014,0.47163123,-0.996024,0.20054114,-0.6535238,0.2231811,0.4963391,0.3165262
88499516d9fffff,2019,-1.5599853,1.3522753,-0.5605383,0.37496328,-0.52572745,-0.72273946,-0.73777044,-0.9529759,0.050750487,0.6969765,0.07641585,0.008791745,-0.8661907,-0.15639159,0.07095744,-0.43747917
88499516d9fffff,2020,-0.80855364,0.31463593,-0.37642428,1.3751231,0.7578712,-0.024847444,-1.108115,1.0053554,0.747673,0.45768887,0.15776172,0.70183605,-0.42948753,-0.3366258,-1.3478379,0.30840474
88499516d9fffff,2021,-0.55213463,0.9181782,-0.1661718,1.3267409,0.70239115,0.45046416,-1.3011496,0.41598898,0.509283,0.8641237,0.27316388,0.15044378,0.0972334,-0.21335104,-0.10712348,-0.58474356
88499516d9fffff,2022,-0.99774045,1.2613989,-1.3274001,1.2236036,-1.0000343,-0.15370815,-0.94546896,-1.1286495,0.0830798,1.1032821,0.072910294,0.6896137,-0.3331674,-0.760984,-0.72015786,1.6412116
88499516d9fffff,2023,0.45856026,1.3247125,-0.33555815,2.7494147,0.2553297,-1.2029104,-1.9938871,0.72042024,1.002425,0.36791924,-0.9170079,-0.49907207,-0.6055083,-0.061767217,-0.17007253,0.35699907
88499516d9fffff,2024,0.3083219,0.46397418,-0.892155,1.4693129,0.09751018,-0.07845253,-0.611059,1.0109124,-0.6998577,0.14042966,0.26874974,0.17996535,-0.9249545,-0.5635469,-0.4195403,-0.9844299
88499516ddfffff,2016,-0.37258348,1.8899508,-1.1285428,2.953551,2.0879295,1.132724,-2.7169588,-0.4916513,2.2059236,0.92440516,-0.8596778,-0.94715846,-1.5295103,-0.38767624,-0.5013273,-0.7203419
88499516ddfffff,2019,-0.31671223,1.0659163,-0.22190635,1.3162956,0.9795606,-0.680554,-1.8709346,-0.18683402,-0.43292043,1.1262821,0.28599912,1.2710207,-0.7813055,1.7971977,0.26573896,-1.0138156
88499516ddfffff,2021,-0.44887882,1.1175011,-0.7200906,2.4369555,-0.7721794,-0.28718898,-2.2124388,0.7741066,-0.5124037,1.2831597,-2.0958252,-0.046913113,-1.1662359,-0.79494697,-0.9304611,-0.8784302
88499516ddfffff,2022,-1.6779739,0.5813289,-2.1078916,0.8433144,-0.5186702,0.691232,-1.2206537,-0.6310078,0.34713212,1.6725894,0.19792403,1.2635409,-2.0767393,1.1743804,0.60914016,0.30042037
88499516ddfffff,2023,-0.5315867,0.08838262,-1.2364038,1.7320412,0.6428943,1.2619807,-2.674403,-0.2281378,0.6736158,2.5983012,-0.29070473,0.8416096,-2.08561,0.35483295,-0.7889056,0.5470922
8849958001fffff,2016,-0.7824337,0.08515354,1.3527215,2.3225214,-0.8671289,0.3434293,-1.4824709,0.38692608,0.4459433,0.8377061,-0.10416354,-0.20490453,-1.7535485,-0.19938272,-1.2430954,-0.3814798
8849958001fffff,2017,-0.3918538,2.3936927,-0.4454284,1.4858371,1.4567442,-0.28326952,-1.4723011,-0.7752131,1.0132763,1.7621003,-0.097259276,0.049647726,-1.8599479,-0.07323626,-1.5173143,0.5435888
8849958001fffff,2018,-1.5411283,0.8638845,-1.3608156,1.3251004,0.108091034,-0.16281457,-0.4815301,-1.3319484,0.007557802,0.088778675,-0.75043845,-0.87337476,-1.660635,-0.57673144,-0.13884215,-0.5920301
8849958001fffff,2019,-1.0563104,0.9493627,-0.020598032,2.0178921,-0.56076217,-0.705495,-0.5010456,0.49406093,-0.18735313,0.49610958,-0.8856707,0.7704945,-0.5549514,0.9643142,0.07145645,-0.27045318
8849958001fffff,2020,0.028032158,-0.5120689,-0.68170136,0.56552297,0.056437317,0.046707343,-1.7210581,-0.5603655,-0.31411818,1.7435979,-0.047128126,0.36263937,-1.8876631,0.41250676,1.0002316,-0.8595538
8849958001fffff,2021,0.13965744,0.562591,-1.0850501,1.6039915,-1.158102,0.02461775,-0.09239987,0.08585375,0.21507452,1.2324027,-0.927729,0.83092546,-2.287553,0.40332162,0.4039186,-0.29167923
8849958001fffff,2022,0.5783865,1.5607052,-1.7589264,1.3534997,0.18159853,0.4525805,0.4839814,-0.041103918,-0.47371757,0.0857433,0.49439597,0.41127443,-2.3722036,0.29983443,-0.75612485,0.27007574
8849958001fffff,2023,-0.5333425,-0.025542384,0.012153241,3.3591902,-0.3054623,-0.4407345,1.0998139,0.91540235,0.8876835,0.18901484,-0.37110198,0.09075482,-1.453881,1.0973628,0.4277365,1.1331993
8849958001fffff,2024,-0.1821094,0.086930804,-0.9950091,0.4362499,-0.94167155,-0.36746168,-0.14893983,0.8316811,0.15334246,0.52582955,0.3201903,1.2701998,-1.2514838,-1.1178982,-0.21367721,-0.42580092
884995800dfffff,2016,-0.20161866,0.77068627,-0.69352925,2.1788847,1.2693347,0.86535513,-2.744432,0.18980698,0.033440046,2.3607311,-0.19322285,0.77038556,-0.877508,0.5881891,0.83537036,-1.4871331
884995800dfffff,2018,-0.48942828,0.42488205,-1.5552617,1.168256,-0.1156143,1.0024842,-0.04690837,0.70195705,2.0148973,0.48602185,-0.07664709,0.7555812,-2.8744392,-1.8387177,-0.7105806,-0.7160752
884995800dfffff,2019,-0.73604995,-0.75628716,-1.9578954,2.140089,0.5559039,0.64958555,-1.2247386,-1.5829293,0.47528392,0.3647599,-1.539002,0.042375054,-2.4991646,0.30403778,0.80381036,-1.7870252
884995800dfffff,2020,-0.07661331,0.33141434,-1.0860018,-0.3448214,-0.55182683,0.002017524,-0.505549,1.6817557,0.22465721,1.2831146,0.539243,0.6501588,-2.181719,-0.6145657,-0.19709225,-0.1908033
