h3_8,año_hecho,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16
88499516d9fffff,2016,1.3562847,0.014417583,1.0962591,0.24781096,0.21242571,-0.45044202,-1.553326,0.23829001,0.038281422,-0.32828495,0.6319815,-1.8002979,-0.967765,1.2117085,-0.54944146,0.13905315
88499516d9fffff,2017,1.87529,-0.77840686,-0.22370285,0.21303082,-1.3055793,0.9355056,-0.59882617,0.93709224,-0.3723324,-0.34719235,1.6406105,0.13249964,0.8338321,-0.1890176,-0.3589394,-0.48878258
88499516d9fffff,2018,1.5093962,0.9484197,-0.052866217,0.26733032,-1.3880317,1.3080878,0.11550361,1.0191183,-0.13219094,0.6087604,-0.8780611,-0.16070825,0.6603442,-0.10374442,0.89139706,0.5249372
88499516d9fffff,2019,1.4706643,-0.63356924,-0.9748897,-0.69673276,-1.6157957,-0.21725911,-1.007728,-0.8600013,-0.8736371,1.5255263,-1.2354698,-0.51281244,0.19417593,-0.6999456,-0.8004585,-0.11478253
88499516d9fffff,2020,0.9620724,-0.26468644,1.2628968,-0.516022,0.023450885,-0.49809673,0.2027172,1.5714511,1.0959368,0.25286344,0.72648853,-0.20729847,-0.29743955,0.7454348,-0.51993424,1.291954
88499516d9fffff,2021,1.6490713,-1.5183269,0.45909256,-0.28369877,-0.7202678,0.44080755,-1.6616869,0.92298305,0.533045,-0.77662295,0.44441736,-0.0769939,0.1615805,0.3434275,-0.5252708,-0.2096504
88499516d9fffff,2022,0.4851722,1.9084108,1.5624082,-0.8876008,-1.1627501,-0.23050237,-0.810531,-0.8787036,-0.56389916,1.3859265,-0.15357265,-1.4360492,-0.33528444,-0.9290379,-0.9787374,0.15368165
88499516d9fffff,2023,2.1332307,1.2024472,0.20272975,-0.35148162,-1.3388842,0.38693973,-0.5196702,0.5517379,1.2118565,-1.4791708,0.5204601,-1.377585,-2.0330782,0.026259903,1.3896165,0.44092092
88499516d9fffff,2024,0.8803626,-0.24200895,-0.4664975,1.176649,0.104230106,-0.61960167,-0.79781944,-0.4321746,1.3420843,-0.9573936,0.29726833,-0.2586188,0.21334895,0.6205842,-0.743258,0.11124231
88499516ddfffff,2016,4.971588,-0.6705837,-1.2613305,-1.8632041,0.3043793,0.7551856,-1.7309242,2.83919,-0.13914521,-2.5958138,0.37193835,-2.2014983,-0.44636044,0.19807905,0.4244584,0.8529483
88499516ddfffff,2019,2.1220975,-3.1105351,0.57201326,2.0425544,-2.667964,-0.10419697,-0.9194661,-0.034923833,-0.137656,-0.29482135,-0.099608615,-0.52054864,-0.33152178,-1.5681065,-0.8554837,0.3157644
88499516ddfffff,2021,3.4196572,0.17330691,0.35321927,0.27703136,-1.7678933,-0.7033921,-0.48621428,-0.07207878,0.63103974,-2.0001636,-2.1465614,-1.2280241,-1.2895875,1.6272334,-0.0051137987,-1.3804998
88499516ddfffff,2022,1.9574518,0.05518762,1.8690798,1.4887285,0.19705756,0.97580963,0.6049125,-1.1142206,-1.8686589,1.1373641,-1.0423108,0.56254053,0.8814935,-1.7541178,-1.2526219,1.5206093
88499516ddfffff,2023,2.4759324,-0.969131,3.443435,0.2734273,1.0336128,1.043431,0.77397686,0.42269555,-0.632095,-0.8709724,-0.2083437,-1.478063,-0.190256,-1.3035717,-0.97863847,1.1701236
8849958001fffff,2016,1.8393708,-0.8328388,1.0791727,-2.0526645,1.2697493,-2.0735295,0.54908985,-0.35599634,0.21649317,-0.9573017,-0.32570383,-0.07251585,-1.4667742,1.1156977,1.0997294,0.010428626
8849958001fffff,2017,3.4734707,-1.1478941,-0.19622652,-0.16883026,-0.90272504,-0.85679895,-0.5313929,1.5208446,0.027635098,1.0889609,1.3858864,-2.8544486,-1.047026,-0.802376,-0.34064397,0.090954445
8849958001fffff,2018,2.1758742,-0.053823367,-2.4642367,-0.45764703,-1.4512274,-1.0720268,0.10844515,0.09051558,-0.43425527,-0.8159981,-1.5854678,-0.7325732,0.96454936,-1.4379402,-1.1741922,-0.41954306
8849958001fffff,2019,1.1200285,-0.0016752299,1.0667747,1.0663744,-1.5875884,-1.1824358,-0.11259947,0.044405367,0.042004507,-0.027402682,-1.3628255,1.1917012,-1.2757373,-0.67338294,0.34597766,0.6056058
8849958001fffff,2020,0.6344007,-1.7964727,0.6627878,0.8251928,0.58080316,1.0739021,0.006202213,-1.6781995,-0.018923383,-0.8407941,-1.5087625,-1.3698925,0.3673423,-1.6484239,-0.29404852,0.33666748
8849958001fffff,2021,1.3093586,0.7693453,0.34617352,1.999873,1.1259544,-0.25361863,-0.19959623,-0.6096036,-1.3518932,0.33755782,-1.081749,-0.47198132,-0.15152611,-0.46594748,0.9574218,-1.0645219
8849958001fffff,2022,1.292044,0.4860162,-1.454462,2.574953,0.41464472,-1.6018705,0.25866383,-0.35406607,-0.27630916,0.12894568,1.8690256,-0.63661194,-0.089146055,-1.4555149,-1.5616009,-0.013862535
8849958001fffff,2023,0.12653993,1.5635864,0.6485012,1.0318961,0.38435158,-1.6762906,1.8706661,1.3682663,1.1861789,-0.42075825,0.5272565,2.5776675,-1.6860671,-3.132286,0.960156,0.41275325
8849958001fffff,2024,-0.15520756,0.25933403,0.15706936,0.9695367,1.2247901,0.43537638,-0.9368845,-0.360361,1.422323,1.6701229,-1.3900924,-0.4916852,-0.11982954,0.7567714,-0.830813,-0.715828
884995800dfffff,2016,3.6089282,-3.0539844,1.7337879,2.1674502,-1.2773837,1.6728024,-1.9969198,0.3737285,0.88671917,-2.5253065,-0.95864046,0.059843455,-0.88534534,-2.227598,-2.3409545,0.75239444
884995800dfffff,2018,2.1928506,0.94034046,-0.8893895,-0.53500366,3.8799644,0.4330639,-0.35342285,1.8400431,0.33238932,1.5307043,-0.869678,-0.47428378,0.6032493,1.3973093,-0.41160965,-0.12000714
884995800dfffff,2019,1.7837423,0.55944866,-0.61374015,0.98961145,1.0038861,-0.043504484,0.22258396,0.71522665,-1.7685915,-2.6823952,-3.0324523,-1.1299107,2.008332,-1.713943,-0.24435185,1.0603745
884995800dfffff,2020,0.83143574,-1.281763,-0.021098455,1.0612402,1.7538035,1.1940455,0.43383446,-0.9473512,1.246603,2.0905235,0.41797748,-0.44087124,-0.6435992,1.6132911,-0.85018957,-1.425756
884995800dfffff,2021,2.034051,-0.33356273,-0.45122436,2.432069,-0.2596435,-0.44016093,-0.1301124,0.4301365,0.6504568,3.1883857,0.9028177,0.03588061,1.0308919,-1.112704,-0.29062897,0.688353
884995800dfffff,2022,-0.16530825,0.28283203,1.5305713,2.329822,-1.9836184,-2.6789033,-0.92841196,-1.2677939,1.1352074,1.7798326,0.36608842,-1.6334481,0.76486045,0.76056904,0.011968138,-0.46687827
884995800dfffff,2024,0.6570543,-0.38964605,-0.40980193,2.999732,1.1950974,-1.962576,0.043186173,0.9044592,1.5077276,-0.022914471,-0.28270388,0.45819226,0.35465422,-1.7653025,-2.1738749,0.39704186
8849958019fffff,2018,0.87235975,1.280082,1.0228229,-2.7868483,0.7036838,1.8697581,-1.1539818,-1.1945536,-0.48767656,0.83297986,-2.6314492,-2.6289332,0.57198435,0.4614771,2.4820688,1.7277672
8849958019fffff,2019,-1.1141225,0.74479014,1.2328492,1.275246,1.1342826,-0.52290624,-1.8928051,-2.412136,1.3508098,2.1678154,0.6267183,0.33963734,-0.39667943,-2.6890807,-1.405207,0.8038743
8849958019fffff,2020,2.829003,-0.031168396,-1.5410683,-0.53537935,0.06271211,0.82427233,2.245372,-1.9275458,3.0295901,-2.0023284,0.20694181,-2.3618627,-0.985941,-0.46642554,-0.8583783,-0.20017473
8849958019fffff,2021,1.7664418,1.7781616,-2.926455,0.70240486,2.5672028,-0.025395516,-0.14799462,1.5171126,0.04015019,0.06905361,-3.197398,0.36171246,1.5459155,2.365949,-0.34394127,0.006418216
8849958027fffff,2016,2.3371394,0.37465283,2.8659644,2.2268224,0.651632,3.4644601,-1.245137,4.1872096,0.46951422,0.35236126,0.032961845,4.5504603,-2.0092404,-0.31650373,-0.06770506,-0.71023744
8849958027fffff,2017,2.0084379,-1.3658462,1.0116283,-0.27414975,0.15169424,0.3804436,1.351484,-1.1549888,1.1580894,-0.3306843,1.1326568,0.6873868,-2.3329892,-2.3356674,0.53428173,-1.0471725
8849958027fffff,2018,2.6867228,-0.2637201,-1.7296268,-0.15639538,1.8304572,3.1536245,0.34643573,-0.70030046,-0.7837231,0.9715412,2.4682236,-1.2334027,-0.3764968,-2.1024127,-0.34231082,-0.885961
8849958027fffff,2024,0.28623825,4.0707517,0.5463423,-2.5979865,1.2647743,-0.27449888,-2.6110828,-3.9085498,1.6834698,-2.0549643,-0.8599565,-0.88075113,-0.2578755,-1.9900284,-0.38227937,2.8687649
8849958083fffff,2016,2.2913795,-1.3626736,0.18238275,-0.30590472,-0.54761934,-1.8984228,-0.14453661,-1.2673194,-0.22312355,-1.2053539,0.8268133,0.08061314,1.0525277,2.925377,0.22851153,0.7667541
8849958083fffff,2017,1.1312723,1.2261106,-2.1702886,-1.0845953,0.09453934,0.01577125,2.1369107,-1.020609,-0.53359425,-0.33494005,0.6532127,-0.2037419,0.4224389,0.18517202,-0.85766476,-0.56412333
8849958083fffff,2018,1.3182797,-1.0467961,-0.64188194,1.2964307,0.34056872,1.1771624,0.07397139,0.6536641,0.47692916,1.2335579,-2.084477,1.565936,-0.1111807,-0.26544717,0.45771608,-0.7028381
8849958083fffff,2019,0.21793438,2.061635,1.7638268,-0.085348584,0.7218891,-3.2886655,-2.239305,1.6574587,0.6096249,0.102529414,1.5559443,-0.83769387,3.3711643,0.85192937,0.9889634,-0.28927687
8849958083fffff,2020,2.744762,3.030439,-2.7699199,0.48944184,0.9413323,-1.7951949,2.7419767,1.2321652,0.97592294,-1.2660704,-1.344397,-0.6452702,-0.470143,1.2145338,0.70198935,-0.59564036
8849958083fffff,2021,1.7605422,2.045177,0.6208699,0.5733797,-0.45725378,-0.9473742,0.07891566,-1.1396039,0.1952301,-1.2454566,0.33076462,-0.9978591,0.23407581,0.27310765,1.6841439,-1.6345832
8849958083fffff,2022,1.4741288,1.5480361,-0.1404124,0.68404126,0.1662797,-0.044883337,0.1325615,0.7100886,2.556488,0.8767658,-1.2083007,1.1467936,2.0881958,0.98192465,0.43407437,2.2352266
8849958083fffff,2024,1.2825781,-0.7393813,0.40128237,1.3325119,0.44194272,-0.98783463,-2.2852335,-1.1519918,-0.1006621,-1.3483164,-1.0510418,-0.44549194,-0.8359039,-1.1516165,0.6115933,-0.9493308
8849958087fffff,2016,1.5517918,-1.1425614,-0.95817417,-0.9530618,-0.046057228,1.2925563,1.2581999,0.31132957,-1.5666965,-0.4751189,-0.7245287,-0.85017675,0.6728658,-1.2969844,-0.06751471,0.5995407
8849958087fffff,2017,0.58103436,-1.3544005,-1.605073,-2.0265417,-1.3241025,-0.108944304,1.1094829,-0.876605,-0.9559041,-0.6002143,-0.6588328,1.0039788,0.80674773,0.94611895,0.4400744,0.09497731
8849958087fffff,2018,0.3882521,0.16921574,-0.1229628,-0.8797983,-0.9271211,-0.17515397,0.89009666,1.2335052,-0.59496856,0.5021564,-0.9855287,0.7544626,0.36561057,0.96350414,-0.24610212,0.20599172
8849958087fffff,2019,1.3046839,0.029383631,-1.2754194,-2.7542975,-1.2997972,-0.839278,1.4371172,-0.236419,-1.8459901,-0.03061916,0.5639944,1.3542572,-0.27279148,1.3709668,-0.36991602,0.43786487
8849958087fffff,2020,2.9118848,0.50882894,-1.8381605,2.4888346,-0.31372485,-1.2919647,-0.5051362,-0.10782205,-0.7120372,2.5328798,-0.99040437,-0.7313489,-0.7756846,0.32274204,0.7146748,-1.2018309
8849958087fffff,2021,1.2820046,-0.23791175,0.5217292,1.3396435,0.78325886,2.3119018,0.6819297,-0.27882692,0.5876794,0.32337558,1.4713548,2.6478179,-0.92985886,1.5774423,-1.9272037,0.95405245
8849958087fffff,2022,0.63311124,-0.52105266,-1.6976696,0.58648163,0.85426927,-0.15410958,-1.4860816,-0.067508265,1.0251096,-1.1930661,0.074029535,0.858084,1.9357954,-1.5712669,-0.32501766,0.3064907
8849958087fffff,2023,1.4318925,2.285449,-0.62250084,1.1239781,-0.28036404,-0.9805068,0.74627,-1.1184669,-2.0312586,0.36380938,-1.5506862,-0.13267085,1.3012577,-0.93541443,-0.63987267,1.828143
8849958087fffff,2024,3.2197986,1.3883235,-1.7033172,-0.91638947,-0.97595537,0.9740122,-1.8552934,-0.23098074,1.5498792,1.3640296,0.115621425,1.2495518,-1.7033883,-1.4930443,-0.008897495,0.55104923
884995808bfffff,2016,1.2908522,1.1196631,-0.5963439,0.560844,0.038680423,-1.2226517,-0.21644999,0.17347567,-1.2033085,-2.5678,1.3937325,1.2951425,1.5147612,0.2749543,1.4747229,0.11656012
884995808bfffff,2017,1.0292699,0.07092307,-0.6833543,-0.18769106,-2.728666,-1.4966632,1.5082157,-1.5800292,-2.299157,-1.6898851,1.3073543,2.7338912,0.03535083,3.6593828,0.23050916,-0.029411124
884995808bfffff,2018,-0.21227007,0.50417364,0.705535,-1.9008646,-0.7772902,-0.88215524,0.5713446,-0.2876062,0.12377383,-0.21316375,0.6071292,0.4574469,-0.69331926,1.8333836,-0.50805175,1.3801225
884995808bfffff,2019,1.3359054,0.9469402,-2.4260342,0.37256092,-1.4957801,0.94706845,1.1504695,0.7118371,1.5817517,0.87661976,-0.8884791,-0.91932446,-0.443862,1.5112753,-0.09063202,-0.27030072
884995808bfffff,2020,1.5334198,1.2244425,-1.0417168,0.17080005,-1.5677159,-0.73994464,0.26529598,-0.5205532,0.2319698,0.4801954,2.4832592,-1.3429426,-0.70481616,-1.2528157,1.3005304,-0.8822848
