h3_8,cluster,lag,lisa_I,lisa_p,lisa_q,lisa_sig,year
88499516d9fffff,2,1.6666666666666665,-0.012974041030584272,0.436,4,0,2024
8849958001fffff,4,4.0,2.3967443011300493,0.182,1,0,2024
884995800dfffff,4,4.0,2.3967443011300493,0.182,1,0,2024
8849958027fffff,3,0.0,-1.0663149472180062,0.002,4,1,2024
8849958083fffff,2,1.0,-0.08031549209409312,0.172,4,0,2024
8849958087fffff,2,2.0,0.020696684501170157,0.404,1,0,2024
884995809dfffff,0,2.5,-0.6238213079536813,0.172,2,0,2024
88499580abfffff,2,2.0,0.020696684501170157,0.442,1,0,2024
88499580d3fffff,0,1.0,0.7036596098392933,0.27,3,0,2024
88499580d7fffff,3,0.0,-1.0663149472180062,0.002,4,1,2024
8849958115fffff,2,0.0,-0.18132766868935643,0.002,4,1,2024
884995813bfffff,0,2.0,-0.1813276686893564,0.356,2,0,2024
884995818bfffff,0,1.0,0.7036596098392933,0.444,3,0,2024
8849958195fffff,0,1.6666666666666665,0.11366809082019348,0.482,3,0,2024
8849958199fffff,2,1.0,-0.08031549209409312,0.3,4,0,2024
884995819dfffff,1,0.6666666666666666,0.4423345758614979,0.06,3,0,2024
88499581b1fffff,1,2.0,-0.08031549209409314,0.292,2,0,2024
88499581b9fffff,3,0.6666666666666666,-0.670307011113193,0.06,4,0,2024
88499581bbfffff,1,1.5,0.11567828338925348,0.384,3,0,2024
88499581cdfffff,0,3.0,-1.0663149472180062,0.184,2,0,2024
8849958401fffff,3,2.2,0.24051124192787746,0.232,1,0,2024
8849958403fffff,3,2.1666666666666665,0.22071084512263678,0.232,1,0,2024
8849958405fffff,1,1.8000000000000003,-0.0019179819007544778,0.474,2,0,2024
8849958407fffff,1,1.5,0.11567828338925348,0.336,3,0,2024
8849958409fffff,3,1.6,-0.1158959005664545,0.366,4,0,2024
884995840bfffff,3,2.3333333333333335,0.31971282914884014,0.15,1,0,2024
8849958411fffff,3,2.5,0.4187148131750435,0.128,1,0,2024
8849958415fffff,2,2.4,0.061101555139275475,0.14,1,0,2024
8849958419fffff,3,2.5,0.4187148131750435,0.128,1,0,2024
884995841bfffff,3,2.6666666666666665,0.5177167972012467,0.12,1,0,2024
884995841dfffff,2,2.6666666666666665,0.08803813556467903,0.056,1,0,2024
8849958421fffff,2,1.4999999999999998,-0.02980940379646149,0.272,4,0,2024
8849958423fffff,0,1.5,0.26116597057496843,0.388,3,0,2024
8849958425fffff,2,1.9999999999999998,0.020696684501170157,0.38,1,0,2024
8849958427fffff,2,1.8333333333333333,0.0038613217352929437,0.456,1,0,2024
8849958429fffff,3,1.3333333333333333,-0.2742990750083798,0.188,4,0,2024
884995842bfffff,0,1.1666666666666665,0.5561617300845183,0.182,3,0,2024
884995842dfffff,2,1.8333333333333333,0.0038613217352929433,0.456,1,0,2024
8849958431fffff,0,1.1666666666666665,0.5561617300845184,0.164,3,0,2024
8849958433fffff,0,1.1666666666666665,0.5561617300845184,0.164,3,0,2024
8849958435fffff,2,0.8333333333333333,-0.09715085485997034,0.044,4,1,2024
8849958437fffff,1,1.1666666666666665,0.2463408003781512,0.176,3,0,2024
8849958439fffff,2,1.3333333333333333,-0.0466447665623387,0.176,4,0,2024
884995843bfffff,2,1.6,-0.019708186136935164,0.338,4,0,2024
884995843dfffff,0,0.8333333333333333,0.8511574895940682,0.07,3,0,2024
8849958441fffff,1,0.6000000000000001,0.4684670792592775,0.018,3,1,2024
8849958443fffff,1,0.9999999999999999,0.31167205887260013,0.072,3,0,2024
8849958445fffff,0,0.3333333333333333,1.2936511288583932,0.056,3,0,2024
8849958447fffff,0,1.25,0.48241279020713085,0.304,3,0,2024
8849958449fffff,2,0.3333333333333333,-0.147656943157602,0.02,4,1,2024
884995844bfffff,0,1.25,0.48241279020713085,0.306,3,0,2024
8849958455fffff,1,2.0000000000000004,-0.08031549209409314,0.322,2,0,2024
8849958457fffff,2,2.25,0.045949728649985984,0.222,1,0,2024
8849958459fffff,0,0.5,1.1461532491036182,0.164,3,0,2024
884995845bfffff,0,0.5,1.1461532491036182,0.164,3,0,2024
884995845dfffff,1,0.5,0.5076658343559467,0.056,3,0,2024
8849958461fffff,2,1.0,-0.08031549209409312,0.134,4,0,2024
8849958463fffff,2,1.75,-0.004556359647645662,0.462,4,0,2024
8849958467fffff,1,1.9999999999999998,-0.08031549209409314,0.322,2,0,2024
8849958469fffff,0,1.0,0.7036596098392933,0.328,3,0,2024
8849958481fffff,1,0.0,0.7036596098392934,0.002,3,1,2024
8849958485fffff,0,2.2,-0.3583251243950864,0.232,2,0,2024
8849958489fffff,0,0.6000000000000001,1.0576545212507533,0.05,3,0,2024
884995848bfffff,0,0.6000000000000001,1.0576545212507535,0.022,3,1,2024
884995848dfffff,0,1.0,0.7036596098392934,0.128,3,0,2024
8849958491fffff,2,1.75,-0.004556359647645662,0.464,4,0,2024
8849958493fffff,3,0.8,-0.5911054238922304,0.05,4,0,2024
8849958499fffff,3,0.5,-0.7693089951393963,0.006,4,1,2024
884995849bfffff,0,1.5,0.26116597057496843,0.376,3,0,2024
884995849dfffff,1,1.25,0.21367517113092677,0.292,3,0,2024
88499584a1fffff,2,2.6666666666666665,0.08803813556467902,0.064,1,0,2024
88499584a3fffff,2,2.6666666666666665,0.08803813556467902,0.064,1,0,2024
88499584a5fffff,2,2.1666666666666665,0.03753204726704738,0.208,1,0,2024
88499584a7fffff,4,2.6666666666666665,0.9473954588378142,0.092,1,0,2024
88499584a9fffff,4,2.1666666666666665,0.4038896429782261,0.278,1,0,2024
88499584abfffff,3,1.8,0.0029064802649894973,0.472,1,0,2024
88499584adfffff,1,2.333333333333333,-0.21097800908299089,0.152,2,0,2024
88499584b1fffff,3,1.1666666666666667,-0.3733010590345831,0.13,4,0,2024
88499584b3fffff,3,1.3333333333333333,-0.27429907500837986,0.194,4,0,2024
88499584b5fffff,3,2.1666666666666665,0.22071084512263678,0.214,1,0,2024
88499584b7fffff,0,2.833333333333333,-0.9188170674632312,0.028,2,1,2024
88499584b9fffff,0,1.3333333333333333,0.4086638503297434,0.412,3,0,2024
88499584bbfffff,0,1.75,0.039919150942806014,0.47,3,0,2024
88499584bdfffff,1,2.2,-0.15871300228743182,0.216,2,0,2024
88499584c3fffff,1,0.5,0.5076658343559467,0.168,3,0,2024
88499584d3fffff,0,1.0,0.7036596098392933,0.262,3,0,2024
88499584d5fffff,1,0.25,0.6056627220976201,0.01,3,1,2024
88499584d7fffff,0,1.0,0.7036596098392933,0.142,3,0,2024
88499584e1fffff,2,2.75,0.09645581694761762,0.098,1,0,2024
88499584e3fffff,3,2.0,0.12170886109643349,0.316,1,0,2024
88499584e5fffff,0,1.8333333333333333,-0.03382978893458138,0.498,2,0,2024
88499584e7fffff,4,1.8333333333333333,0.04155243240516742,0.42,1,0,2024
88499584edfffff,4,1.0,-0.8642905940274797,0.132,4,0,2024
8849958501fffff,3,3.0,0.7157207652536534,0.17,1,0,2024
8849958503fffff,4,1.4,-0.4294859413398091,0.242,4,0,2024
884995850bfffff,2,2.8000000000000003,0.1015064257773808,0.062,1,0,2024
8849958511fffff,2,1.4999999999999998,-0.02980940379646149,0.276,4,0,2024
8849958513fffff,2,1.833333333333333,0.0038613217352929424,0.47,1,0,2024
8849958515fffff,0,1.8333333333333333,-0.03382978893458147,0.436,2,0,2024
8849958517fffff,1,1.6666666666666665,0.05034702489480462,0.408,3,0,2024
8849958519fffff,2,1.9999999999999998,0.020696684501170157,0.38,1,0,2024
884995851bfffff,2,1.9999999999999998,0.020696684501170157,0.38,1,0,2024
884995851dfffff,2,1.9999999999999998,0.020696684501170157,0.38,1,0,2024
8849958521fffff,2,2.333333333333333,0.05436741003292459,0.142,1,0,2024
8849958523fffff,4,2.8000000000000003,1.0923303430670381,0.028,1,1,2024
8849958525fffff,3,2.0,0.12170886109643345,0.376,1,0,2024
8849958527fffff,3,3.1666666666666665,0.8147227492798566,0.008,1,1,2024
