h3_8,año_hecho,umap_1,umap_2
88499516d9fffff,2016,13.323598,3.5729225
88499516d9fffff,2017,12.393963,3.2883704
88499516d9fffff,2018,13.789413,1.9567862
88499516d9fffff,2019,13.093774,3.0185316
88499516d9fffff,2020,14.07148,3.434094
88499516d9fffff,2021,14.131404,2.7739227
88499516d9fffff,2022,13.735552,0.33641776
88499516d9fffff,2023,12.077439,4.44335
88499516d9fffff,2024,13.162236,3.934381
88499516ddfffff,2016,12.648649,4.2119827
88499516ddfffff,2019,14.441633,3.6912084
88499516ddfffff,2021,12.217191,4.683417
88499516ddfffff,2022,13.396706,4.798937
88499516ddfffff,2023,13.77818,4.64134
8849958001fffff,2016,12.368464,5.5859447
8849958001fffff,2017,13.320647,4.7487464
8849958001fffff,2018,12.585963,3.9682858
8849958001fffff,2019,12.826477,4.161889
8849958001fffff,2020,13.700587,5.205675
8849958001fffff,2021,12.674939,5.0633025
8849958001fffff,2022,10.735346,3.7554643
8849958001fffff,2023,11.425381,4.2295613
8849958001fffff,2024,9.74049,2.9181554
884995800dfffff,2016,14.402068,3.8152
884995800dfffff,2018,12.266554,4.643898
884995800dfffff,2019,12.608635,4.324154
884995800dfffff,2020,13.975804,4.409692
884995800dfffff,2021,12.196844,3.1729934
884995800dfffff,2022,9.946309,1.8262553
884995800dfffff,2024,10.101045,2.4960043
8849958019fffff,2018,13.60172,5.376271
8849958019fffff,2019,9.593415,1.3969872
8849958019fffff,2020,12.417858,4.5518765
8849958019fffff,2021,9.337773,3.6506722
8849958027fffff,2016,13.961041,1.2250544
8849958027fffff,2017,11.817127,5.450747
8849958027fffff,2018,12.284005,4.7439404
8849958027fffff,2024,9.778,2.24357
8849958083fffff,2016,13.519225,3.1477165
8849958083fffff,2017,11.175285,3.796336
8849958083fffff,2018,11.694494,5.004339
8849958083fffff,2019,11.067062,2.454596
8849958083fffff,2020,10.204807,4.4034457
8849958083fffff,2021,11.627825,4.4575906
8849958083fffff,2022,9.907356,3.139651
8849958083fffff,2024,11.977349,5.1499977
8849958087fffff,2016,13.201388,4.521314
8849958087fffff,2017,12.538171,1.8059642
8849958087fffff,2018,13.401893,2.0415347
8849958087fffff,2019,12.392194,2.4550893
8849958087fffff,2020,10.1758995,4.3768597
8849958087fffff,2021,13.511341,1.3168505
8849958087fffff,2022,11.129505,1.0262175
8849958087fffff,2023,12.615338,4.3252454
8849958087fffff,2024,11.186033,4.4947147
884995808bfffff,2016,11.037496,3.9657178
884995808bfffff,2017,12.46508,1.5424273
884995808bfffff,2018,12.3655615,1.3239615
884995808bfffff,2019,12.689314,3.2100172
884995808bfffff,2020,11.49786,3.8856494
884995808bfffff,2021,12.868475,3.9437568
884995808bfffff,2022,12.6806555,2.2565832
884995808bfffff,2023,11.179898,3.801105
8849958091fffff,2016,11.329605,3.3843725
8849958091fffff,2018,11.910829,4.3347363
8849958091fffff,2019,10.767642,3.2856011
8849958091fffff,2020,11.069439,4.991239
8849958091fffff,2021,11.20461,4.063028
8849958091fffff,2022,11.56103,-1.312382
8849958091fffff,2023,10.88585,3.7103553
8849958099fffff,2016,10.299898,4.4262633
8849958099fffff,2018,12.974413,2.8591027
8849958099fffff,2019,13.112272,2.4862728
8849958099fffff,2020,10.946821,3.894825
884995809dfffff,2017,12.643906,5.386981
884995809dfffff,2018,11.490991,4.316027
884995809dfffff,2019,9.425055,0.7461322
884995809dfffff,2020,10.409141,4.147712
884995809dfffff,2021,13.391442,0.09114586
884995809dfffff,2022,13.830739,0.38470876
884995809dfffff,2024,9.692283,3.285082
88499580a1fffff,2016,12.766314,4.2267594
88499580a1fffff,2017,14.689049,4.230221
88499580a1fffff,2018,12.889711,4.4375434
88499580a1fffff,2019,13.390573,3.2599175
88499580a1fffff,2020,9.664935,3.5935335
88499580a1fffff,2021,13.63232,0.60445005
88499580a1fffff,2022,14.69242,4.4362483
88499580a5fffff,2018,9.899255,2.8952744
88499580a5fffff,2019,9.206312,3.411319
88499580a5fffff,2020,11.245773,5.743008
88499580a5fffff,2021,11.829483,5.558717
88499580a5fffff,2022,13.488271,3.640333
88499580abfffff,2016,12.152158,5.3906255
88499580abfffff,2017,11.501365,4.169276
88499580abfffff,2018,11.584755,4.7981997
88499580abfffff,2019,12.75499,4.04399
88499580abfffff,2022,11.958978,3.2833807
88499580abfffff,2023,9.569487,3.6932514
88499580abfffff,2024,11.533723,4.693238
88499580b7fffff,2018,12.035982,4.439775
88499580b7fffff,2020,12.764622,4.898489
88499580b7fffff,2021,14.699346,4.426776
88499580b7fffff,2022,13.635154,5.3134117
