h3_8,año_hecho,umap_1,umap_2
88499516d9fffff,2016,7.737708,2.119975
88499516d9fffff,2017,9.111941,0.671907
88499516d9fffff,2018,7.2591333,1.9650769
88499516d9fffff,2019,7.3672504,3.6564488
88499516d9fffff,2020,7.7437196,2.1022673
88499516d9fffff,2021,8.537978,1.5212144
88499516d9fffff,2022,6.2850757,2.7634676
88499516d9fffff,2023,7.040169,1.7902027
88499516d9fffff,2024,7.639997,2.874819
88499516ddfffff,2016,9.767184,0.5284962
88499516ddfffff,2019,8.08965,0.4990134
88499516ddfffff,2021,12.082996,1.6018518
88499516ddfffff,2022,7.6597486,0.22899087
88499516ddfffff,2023,7.4126964,0.54394543
8849958001fffff,2016,11.2411585,2.9967048
8849958001fffff,2017,8.717039,0.30647486
8849958001fffff,2018,10.547602,0.3781629
8849958001fffff,2019,12.852074,2.8560936
8849958001fffff,2020,8.945601,1.8923976
8849958001fffff,2021,12.5054035,2.6443045
8849958001fffff,2022,8.73786,-0.19483884
8849958001fffff,2023,12.982863,3.9821525
8849958001fffff,2024,8.391726,4.2952895
884995800dfffff,2016,8.108454,0.5830426
884995800dfffff,2018,10.541466,1.0482963
884995800dfffff,2019,10.692463,0.96422505
884995800dfffff,2020,10.480379,1.598474
884995800dfffff,2021,8.420632,0.14262931
884995800dfffff,2022,6.8920536,5.4688964
884995800dfffff,2024,6.27856,5.5283804
8849958019fffff,2018,8.370629,3.8164544
8849958019fffff,2019,8.673946,6.2444596
8849958019fffff,2020,10.368609,0.5899513
8849958019fffff,2021,11.711491,6.719686
8849958027fffff,2016,6.626542,1.032977
8849958027fffff,2017,12.322355,2.4659
8849958027fffff,2018,10.650193,1.0341802
8849958027fffff,2024,8.735567,6.100707
8849958083fffff,2016,10.857084,3.591519
8849958083fffff,2017,11.6356,1.729264
8849958083fffff,2018,9.83224,1.0951699
8849958083fffff,2019,7.3216457,5.8969
8849958083fffff,2020,12.263495,2.219814
8849958083fffff,2021,12.563522,3.2588441
8849958083fffff,2022,7.6374183,6.723066
8849958083fffff,2024,8.48425,2.243987
8849958087fffff,2016,10.3691,0.69767773
8849958087fffff,2017,11.156828,3.572581
8849958087fffff,2018,10.285141,3.74145
8849958087fffff,2019,11.441813,3.338709
8849958087fffff,2020,9.176137,-0.13391411
8849958087fffff,2021,10.390632,1.5982773
8849958087fffff,2022,8.023798,6.2547765
8849958087fffff,2023,11.5443535,5.89821
8849958087fffff,2024,7.313437,1.6958513
884995808bfffff,2016,11.777117,4.001236
884995808bfffff,2017,11.567189,3.393214
884995808bfffff,2018,10.283151,4.109846
884995808bfffff,2019,7.336707,1.8933437
884995808bfffff,2020,12.414001,2.9101515
884995808bfffff,2021,10.856428,1.87717
884995808bfffff,2022,11.187627,1.4515029
884995808bfffff,2023,11.671863,6.562942
8849958091fffff,2016,7.073428,7.697851
8849958091fffff,2018,7.521885,3.8895485
8849958091fffff,2019,11.737486,6.6988907
8849958091fffff,2020,11.742568,3.7017775
8849958091fffff,2021,6.9801235,1.766533
8849958091fffff,2022,7.1653595,7.5287566
8849958091fffff,2023,12.682159,3.9099631
8849958099fffff,2016,12.306352,2.2314017
8849958099fffff,2018,7.2219124,4.3430986
8849958099fffff,2019,7.598738,4.107259
8849958099fffff,2020,9.957458,0.038238406
884995809dfffff,2017,6.559917,5.615145
884995809dfffff,2018,7.4028835,1.5044715
884995809dfffff,2019,8.924434,5.68304
884995809dfffff,2020,12.249507,4.2340384
884995809dfffff,2021,6.290107,0.16385573
884995809dfffff,2022,12.571274,4.2043376
884995809dfffff,2024,11.989768,5.669309
88499580a1fffff,2016,8.825184,2.2897735
88499580a1fffff,2017,7.8292747,0.7060438
88499580a1fffff,2018,7.881353,3.7367132
88499580a1fffff,2019,6.8173637,6.6519012
88499580a1fffff,2020,7.8216233,7.182864
88499580a1fffff,2021,7.2960696,0.6395214
88499580a1fffff,2022,8.899264,2.6007752
88499580a5fffff,2018,10.70564,1.9705868
88499580a5fffff,2019,11.506034,6.1492443
88499580a5fffff,2020,13.266518,3.3579965
88499580a5fffff,2021,7.323782,6.945032
88499580a5fffff,2022,10.428685,1.0009733
88499580abfffff,2016,12.360326,2.0354192
88499580abfffff,2017,7.4530654,5.6585274
88499580abfffff,2018,11.053515,1.0720102
88499580abfffff,2019,9.227697,2.1602128
88499580abfffff,2022,6.815236,6.6416774
88499580abfffff,2023,6.8706026,3.665593
88499580abfffff,2024,8.1374035,1.4408013
88499580b7fffff,2018,8.676578,0.096426845
88499580b7fffff,2020,5.8309293,0.70240766
88499580b7fffff,2021,9.984422,1.3488989
88499580b7fffff,2022,7.361832,0.4894468
88499580d3fffff,2016,8.928576,-0.036751654
88499580d3fffff,2017,11.35835,4.386755
88499580d3fffff,2018,8.784205,1.5599868
88499580d3fffff,2019,7.0421705,3.9380941
88499580d3fffff,2020,9.719757,2.2060475
88499580d3fffff,2021,7.1214066,4.2855105
88499580d3fffff,2022,6.01111,2.8631496
88499580d3fffff,2023,6.856112,1.9959769
88499580d3fffff,2024,6.352522,5.498355
88499580d7fffff,2016,11.527909,2.531951
88499580d7fffff,2017,11.7263775,1.7806916
88499580d7fffff,2018,9.086272,4.4609404
88499580d7fffff,2019,11.389298,3.4256587
88499580d7fffff,2020,8.507452,6.2479095
88499580d7fffff,2021,11.834482,5.0361037
88499580d7fffff,2022,6.963062,6.9824224
88499580d7fffff,2023,8.690299,0.24690495
88499580d7fffff,2024,11.330525,1.9991988
88499580dbfffff,2017,6.091784,0.74110883
88499580dbfffff,2018,7.3170466,3.8447516
88499580dbfffff,2019,7.2786255,5.302437
88499580dbfffff,2020,8.296359,3.7809908
88499580dbfffff,2021,5.999444,0.69224
88499580dbfffff,2022,6.097696,0.49064857
88499580dbfffff,2023,12.019467,5.492819
8849958115fffff,2020,8.937974,3.1421409
8849958115fffff,2022,7.4633117,6.3415203
8849958115fffff,2024,6.9101276,2.370773
884995813bfffff,2018,9.410525,2.2225707
884995813bfffff,2019,6.207134,0.7800194
884995813bfffff,2020,8.893489,5.8902617
884995813bfffff,2021,9.100584,3.2821305
884995813bfffff,2023,7.379072,1.8171746
884995813bfffff,2024,11.7823305,2.426043
8849958183fffff,2016,10.509945,1.6799175
8849958183fffff,2018,8.7549305,3.9960186
8849958183fffff,2019,6.799267,5.8534527
8849958183fffff,2020,12.466005,3.3235514
8849958183fffff,2023,12.918308,4.29134
8849958189fffff,2018,6.6635427,1.8777764
8849958189fffff,2019,8.370532,2.0089955
8849958189fffff,2020,12.586487,4.179715
8849958189fffff,2021,11.876418,4.422015
8849958189fffff,2022,9.405968,2.527888
8849958189fffff,2023,6.934182,1.917004
884995818bfffff,2016,12.066775,3.5458782
884995818bfffff,2017,7.8373804,1.4202689
884995818bfffff,2018,9.395991,2.4317179
884995818bfffff,2019,7.211986,6.431021
884995818bfffff,2020,7.1219325,1.2593126
884995818bfffff,2021,10.248058,0.6582886
884995818bfffff,2022,10.07422,1.377684
884995818bfffff,2023,10.668322,0.36535034
884995818bfffff,2024,11.24298,5.9678926
8849958195fffff,2016,12.632644,2.6854486
8849958195fffff,2017,10.432974,3.3818653
8849958195fffff,2018,10.833777,5.2084136
8849958195fffff,2019,8.449601,6.3762655
8849958195fffff,2020,11.311554,5.1025543
8849958195fffff,2021,7.205325,2.8554556
