h3_8,año_hecho,umap_1,umap_2
88499516d9fffff,2016,5.6381984,8.115735
88499516d9fffff,2017,4.724521,8.030943
88499516d9fffff,2018,7.982946,6.5867925
88499516d9fffff,2019,4.461726,8.060306
88499516d9fffff,2020,6.224928,6.901353
88499516d9fffff,2021,3.6349761,8.237882
88499516d9fffff,2022,7.3528147,5.750038
88499516d9fffff,2023,7.511347,7.7827425
88499516d9fffff,2024,5.2711782,7.4149737
88499516ddfffff,2016,4.269283,8.981064
88499516ddfffff,2019,4.3069,8.501363
88499516ddfffff,2021,6.1660624,8.3200035
88499516ddfffff,2022,5.0794897,9.139463
88499516ddfffff,2023,5.178115,9.312894
8849958001fffff,2016,6.725403,9.002164
8849958001fffff,2017,4.574884,8.917223
8849958001fffff,2018,5.125244,8.088679
8849958001fffff,2019,7.2844944,7.5102053
8849958001fffff,2020,5.1885214,9.034078
8849958001fffff,2021,6.122184,8.461779
8849958001fffff,2022,5.5829554,7.1942215
8849958001fffff,2023,7.0927715,7.9089003
8849958001fffff,2024,6.382917,5.654589
884995800dfffff,2016,4.5735145,8.673053
884995800dfffff,2018,5.710352,7.689572
884995800dfffff,2019,5.998801,8.025715
884995800dfffff,2020,4.9876714,8.299129
884995800dfffff,2021,4.673949,7.3336563
884995800dfffff,2022,5.1115494,5.770017
884995800dfffff,2024,5.129164,6.950886
8849958019fffff,2018,5.319484,9.108732
8849958019fffff,2019,6.5246086,5.392397
8849958019fffff,2020,5.2467694,8.698062
8849958019fffff,2021,6.2947874,7.421683
8849958027fffff,2016,7.407104,7.4210267
8849958027fffff,2017,7.0322857,8.769022
8849958027fffff,2018,4.905783,9.245339
8849958027fffff,2024,6.618491,5.7583976
8849958083fffff,2016,3.5873346,7.728775
8849958083fffff,2017,5.558438,6.6491017
8849958083fffff,2018,6.2056375,8.051712
8849958083fffff,2019,6.0591054,5.640139
8849958083fffff,2020,6.8861413,7.58676
8849958083fffff,2021,6.6196465,7.2996125
8849958083fffff,2022,6.287664,6.698068
8849958083fffff,2024,6.465076,8.233233
8849958087fffff,2016,4.8533154,9.503668
8849958087fffff,2017,2.9599001,6.9661837
8849958087fffff,2018,4.6481423,6.5635123
8849958087fffff,2019,2.769303,7.1751847
8849958087fffff,2020,5.9698133,7.7638373
8849958087fffff,2021,7.5856705,6.1146173
8849958087fffff,2022,5.0998964,6.427809
8849958087fffff,2023,6.742541,6.861271
8849958087fffff,2024,7.2406883,6.8408856
884995808bfffff,2016,5.8342113,7.0872884
884995808bfffff,2017,2.822519,6.919718
884995808bfffff,2018,3.5614824,6.6157503
884995808bfffff,2019,7.847325,7.313236
884995808bfffff,2020,6.916541,6.1225142
884995808bfffff,2021,5.4098377,7.6195803
884995808bfffff,2022,3.165965,7.1117053
884995808bfffff,2023,6.113847,6.337895
8849958091fffff,2016,2.1142254,5.3634553
8849958091fffff,2018,6.110846,7.5967736
8849958091fffff,2019,5.8743806,7.6965256
8849958091fffff,2020,2.778561,5.5611625
8849958091fffff,2021,7.8649683,7.241279
8849958091fffff,2022,3.1148665,5.7461777
8849958091fffff,2023,7.4074397,6.910776
8849958099fffff,2016,7.038749,7.7014036
8849958099fffff,2018,7.1322527,6.9370284
8849958099fffff,2019,3.636539,8.001872
8849958099fffff,2020,6.2385006,7.133973
884995809dfffff,2017,5.9517317,8.841337
884995809dfffff,2018,6.5213585,7.6083884
884995809dfffff,2019,6.454701,4.2098355
884995809dfffff,2020,6.489391,7.3157167
884995809dfffff,2021,7.1284714,5.2529273
884995809dfffff,2022,7.583996,5.468719
884995809dfffff,2024,6.6415377,6.939384
88499580a1fffff,2016,6.066524,8.148389
88499580a1fffff,2017,5.4219728,8.913512
88499580a1fffff,2018,6.110713,7.6962957
88499580a1fffff,2019,3.6771796,8.252998
88499580a1fffff,2020,6.5189395,7.188219
88499580a1fffff,2021,7.321168,7.1399903
88499580a1fffff,2022,4.4446945,8.99554
88499580a5fffff,2018,5.655973,7.2149243
88499580a5fffff,2019,6.46546,7.4133
88499580a5fffff,2020,7.2181387,8.724022
88499580a5fffff,2021,7.1046896,8.700302
88499580a5fffff,2022,3.7461157,8.44998
88499580abfffff,2016,6.184639,8.8612175
88499580abfffff,2017,5.9499297,6.668964
88499580abfffff,2018,6.0387006,8.646057
88499580abfffff,2019,5.3482747,7.240454
88499580abfffff,2022,7.9628463,6.299059
88499580abfffff,2023,6.4697127,7.5007133
88499580abfffff,2024,7.0018063,7.0682735
88499580b7fffff,2018,6.3097763,7.950248
